word,POS,match,pmi,total
wearing,VBG,0.0,0.865327174474,14
bottom,NN,0.25,0.629912586976,16
them,PRP,0.0,1.02646328488,4
rectangular,JJ,0.0,0.952346014931,2
beanbag,NN,0.5,1.04416750594,2
dancer,NN,0.5,1.30217303683,2
angle,NN,0.0,0.73260790467,5
limbs,NNS,0.0,0.407863906783,2
how,WRB,0.0,0.673237466688,8
not,RB,0.0,0.797891999798,7
falling,VBG,0.125,0.852748350614,8
by,IN,0.0,0.852344839139,2
shaped,VBN,0.0,0.808966144259,7
possibly,RB,0.0,0.954148424845,2
on,IN,0.2751677852348993,0.410181541367,149
see,VB,0.0,0.785992195832,6
other,JJ,0.06666666666666667,0.703353096009,15
blob,NN,0.2222222222222222,0.817451175655,9
shape,NN,0.07142857142857142,0.745452547939,14
kneel,NN,0.0,1.04538952288,3
all,DT,0.0,0.93312722982,3
right,NN,0.2619047619047619,0.464022223618,126
do,VB,0.0,0.879639967613,3
ill,RB,0.0,1.05060613775,2
'll,MD,0.0,0.872504951324,4
kick,VBP,0.0,1.03853683722,3
pacman,NN,0.5,0.805900978024,2
have,VBP,0.0,0.74368629556,25
rolling,VBG,1.0,0.979244778409,1
correct,JJ,0.0,1.17859010413,2
first,RB,0.0,0.977143547937,4
sides,NNS,0.25,0.949422905968,4
rock,NN,0.0,1.12802981359,1
are,VBP,0.0,0.770106634525,18
doing,VBG,0.0,0.782550787434,8
again,RB,0.0,0.792281080488,4
really,RB,0.0,0.912660936094,4
describe,VB,0.0,0.845588592729,5
meant,VBN,0.0,1.4699675222,2
i,FW,0.05,0.780461496605,20
small,JJ,0.3333333333333333,0.791003150583,3
stuck,VBD,0.0,0.926001043446,2
dog,NN,1.0,1.20344344524,3
face,NN,0.0,0.92674929102,2
so,RB,0.0,0.755126627063,18
can,MD,0.0,0.606137210316,3
we,PRP,0.0,0.801472929281,5
position,NN,0.2571428571428571,0.269573367831,35
tail,NN,0.25,1.04177711881,4
number,NN,0.0,0.422567691842,57
pretty,RB,0.0,0.888250003899,3
pope,NN,0.5,0.880558955542,2
vertical,JJ,0.0,0.753067531822,4
towards,IN,0.0,0.798890568049,7
his,PRP$,0.021739130434782608,0.67178682397,46
lower,JJR,0.0,1.04290591247,2
me,PRP,0.0,0.591791242909,11
bowl,NN,0.6666666666666666,0.886848805555,9
arm,NN,0.3333333333333333,0.723695487171,24
nose,NN,0.3333333333333333,0.86660634465,3
same,JJ,0.0,0.844613844091,7
they,PRP,0.0,0.828817981871,11
start,VB,0.0,0.851207220707,3
long,JJ,0.5,0.881036004596,4
raised,VBD,0.0,1.0972427171,2
robe,NN,0.125,0.777133845378,16
side,NN,0.18518518518518517,0.738351200033,27
thats,NNS,0.0,0.418474865578,15
too,RB,0.0,0.970537954806,2
No.,NN,0.0,0.359342324827,6
cube,NN,0.0,0.568168597017,3
offering,NN,0.0,1.09888839675,3
rabbit,NN,0.47368421052631576,0.860751591687,19
completely,RB,0.0,1.13526680664,2
stretch,VBP,0.0,0.833096348531,2
tray,NN,0.3333333333333333,1.00597052977,3
no,DT,0.35714285714285715,0.801601929193,28
without,IN,0.0,0.961561964926,5
begging,VBG,0.25,0.95527441812,4
half,NN,0.8333333333333334,0.757077892435,6
person,NN,0.25471698113207547,0.473591813373,106
second,JJ,0.0,0.95513881193,3
They,PRP,0.0,0.547278053807,2
!,.,0.0,0.547239215943,8
yes,RB,0.0,1.07777555969,3
candle,NN,0.75,1.00393824001,4
PASS,NN,0.0,0.563574834488,3
tip,NN,1.0,0.939812794017,1
there,RB,0.0,0.739154808632,11
duck,NN,0.5,0.76480606397,2
reminds,VBZ,0.0,0.354495419174,3
flag,NN,0.75,0.884719452491,4
portruding,VBG,0.0,0.638817530404,2
for,IN,0.038461538461538464,0.738651154483,26
an,DT,0.0,0.901302658125,13
surface,NN,0.0,0.738897951236,1
somewhat,RB,0.0,0.654617023439,2
bunny,NN,0.48148148148148145,0.957697311361,27
weird,JJ,0.14285714285714285,0.915164700449,7
seems,VBZ,0.0,1.04979099693,2
#,#,0.22448979591836735,0.116147353421,98
