word,POS,match,pmi,total
looking,VERB,0.20967741935483872,0.7539197348328013,62
for,ADP,0.0,0.6752042176508442,33
a,DET,0.029465930018416207,0.15541528679679276,543
diamond,NOUN,0.1746987951807229,0.4195263905653791,166
at,ADP,0.13414634146341464,0.5943719329224135,82
the,DET,0.12422360248447205,0.15949653627815183,483
top,NOUN,0.11585365853658537,0.4524117622571132,164
triangle,NOUN,0.22535211267605634,0.4856811948477091,142
pointing,VERB,0.19718309859154928,0.642330862645088,71
towards,ADP,0.08333333333333333,0.893706353719745,12
left,ADJ,0.26714801444043323,0.3841028354311464,277
close,ADJ,0.0,0.7711972302303547,2
to,ADP,0.092,0.33716260704152157,250
person,NOUN,0.06832298136645963,0.5203846706667737,161
praying,VERB,0.4482758620689655,0.9765365866553092,29
on,ADP,0.195906432748538,0.32247600843090096,342
their,ADJ,0.0,0.6876361748006411,54
knees,NOUN,0.3076923076923077,0.8678920006569573,65
there,ADV,0.0,0.7366540009182315,27
's,VERB,0.0273972602739726,0.48574962715478426,73
right,NOUN,0.2947019867549669,0.35092014057117266,302
also,ADV,0.0,0.7531572833170048,13
just,ADV,0.0,0.9488908168525303,22
below,ADP,0.0,0.8600119137379001,9
and,CCONJ,0.05042016806722689,0.4159641398115252,238
could,VERB,0.0,0.8172952438784878,11
be,VERB,0.0,0.7346705944895301,24
seen,VERB,0.0,0.5986902408053073,6
as,ADV,0.0,0.8133605268778826,19
mouse,NOUN,0.8333333333333334,1.02446183199114,6
in,ADP,0.11931818181818182,0.5730115257867024,176
like,ADP,0.011450381679389313,0.2138186782614257,524
mountain,NOUN,0.3333333333333333,0.9767124202243108,6
this,DET,0.008620689655172414,0.24880299603399145,232
one,NOUN,0.11447811447811448,0.3252327942663874,297
looks,VERB,0.008928571428571428,0.2675830125833325,448
seal,NOUN,1.0,1.247628148987941,3
small,ADJ,0.16666666666666666,0.8448966441833797,24
dog,NOUN,1.0,1.1586505547209474,3
balancing,VERB,0.21428571428571427,1.1140795058321837,14
ball,NOUN,0.75,1.0564007151861807,4
its,ADJ,0.0196078431372549,0.637762491198501,51
nose,NOUN,0.16666666666666666,0.9639646207916885,6
of,ADP,0.036458333333333336,0.40716460946784383,192
spy,NOUN,1.0,0.9700367766225568,1
down,PART,0.1619718309859155,0.7275202759743989,142
walking,VERB,0.3,1.0586611832063075,20
with,ADP,0.07761194029850746,0.3826176407536392,335
flag,NOUN,0.375,0.9951324659161042,8
his,ADJ,0.02631578947368421,0.6112779014267491,76
shoulder,NOUN,0.0,1.0154457825074465,8
is,VERB,0.015503875968992248,0.3180512187478402,258
what,NOUN,0.0,0.9302200735377412,8
state,NOUN,0.0,0.8745340121445849,3
straight,ADV,0.2692307692307692,0.7918041628477757,52
line,NOUN,0.16666666666666666,0.8374840934291382,12
bow,NOUN,0.7,1.107429559091056,10
or,CCONJ,0.15384615384615385,0.8941953289197071,39
bunny,NOUN,0.7631578947368421,1.249288037034213,38
ears,NOUN,0.5483870967741935,1.235632659807669,31
profile,NOUN,0.0,0.7700721334320719,3
lightning,NOUN,0.25,0.8440333258488836,4
bolt,NOUN,0.25,0.8273292870729928,4
other,ADJ,0.10256410256410256,0.833673358114208,39
ice,NOUN,0.5,1.1332367015606737,12
skating,NOUN,0.0,1.0274306845742611,8
leg,NOUN,0.3695652173913043,0.8436656294753933,92
out,PART,0.1347517730496454,0.6231461691233002,141
arms,NOUN,0.33727810650887574,0.6513385621367784,169
front,NOUN,0.18181818181818182,0.7557932762351096,44
preacher,NOUN,0.8,0.8166330831413013,5
hands,NOUN,0.11320754716981132,0.8344700337163083,53
up,ADV,0.224,0.7196973116542168,125
air,NOUN,0.16666666666666666,0.8799071099860245,48
graduate,NOUN,0.3333333333333333,0.8804742144817611,3
giving,VERB,0.0,1.1771927513638334,3
speech,NOUN,0.5,1.0519018604779784,2
lectern,NOUN,1.0,1.146128035678238,1
shadow,NOUN,0.3333333333333333,1.092112329658084,3
facing,VERB,0.1744186046511628,0.4483939092955808,172
bottom,NOUN,0.13333333333333333,0.5944617133667459,90
half,NOUN,0.125,1.0325626253399987,8
makes,VERB,0.0,0.8364428523354334,3
same,ADJ,0.0,0.8399334494160511,5
sitting,VERB,0.3092105263157895,0.8390902892130889,152
feet,NOUN,0.13725490196078433,0.7480296866645675,51
ground,NOUN,0.1282051282051282,0.8287111961610176,39
man,NOUN,0.0958904109589041,0.5518154784644181,73
standing,VERB,0.21359223300970873,0.723368466673213,103
foot,NOUN,0.19298245614035087,0.7923531429521963,57
while,ADP,0.0,0.9031847058678597,7
raising,VERB,0.0,0.7407303189439837,10
loose,ADJ,0.0,0.9114108226515523,2
sleeves,NOUN,0.0,1.0855749033209023,4
holding,VERB,0.2962962962962963,0.8721759861856072,54
plate,NOUN,0.6666666666666666,0.8371488803836004,9
him,PRON,0.15,0.8092538830143512,20
kneeling,VERB,0.4594594594594595,0.7090870301951645,111
fully,ADV,0.0,1.1688657304560834,2
both,CCONJ,0.11428571428571428,0.9232067167066544,35
weird,ADJ,0.0,0.8546917235771417,10
spread,VERB,0.4,0.9973597194023294,5
floor,NOUN,0.18181818181818182,0.8259761401364,11
arm,NOUN,0.15151515151515152,0.9285765465968236,33
kinda,ADV,0.0,0.8112261954297436,19
wearing,VERB,0.0,0.9734635490402556,15
dress,NOUN,0.18181818181818182,0.8952375882584491,11
bent,VERB,0.37142857142857144,0.99751808436656,35
almost,ADV,0.0625,0.8538983412749139,32
camera,NOUN,0.0,1.149062502510287,2
legless,ADJ,1.0,1.1499714500113836,2
lifted,VERB,0.0,0.981421172579013,6
back,NOUN,0.23,0.7623615865734453,100
he,PRON,0.0,0.6235979031388408,53
y,PRON,0.5,1.2129415462424513,4
shape,NOUN,0.09259259259259259,0.6743483671434184,54
no,DET,0.2698412698412698,0.843102796618774,63
legs,NOUN,0.2222222222222222,0.8170227674159289,72
visible,ADJ,0.0,0.9515673706642511,7
s,VERB,0.2222222222222222,0.8755844243701484,9
sticking,VERB,0.03571428571428571,0.6990215405474596,28
something,NOUN,0.14285714285714285,0.9404382739704301,35
triangles,NOUN,0.22641509433962265,0.8531263000109599,53
tilted,VERB,0.0,0.8240878106930813,20
box,NOUN,0.07142857142857142,0.6975250284799194,28
someone,NOUN,0.0,0.6765884521380666,48
head,NOUN,0.15270935960591134,0.45923303312873415,203
shaped,ADJ,0.058823529411764705,0.7050271245104097,17
pointed,VERB,0.08695652173913043,0.8526981503663653,23
again,ADV,0.0,1.143643058827239,4
not,ADV,0.047619047619047616,0.7402357828183838,42
much,ADJ,0.0,1.0714092936785422,3
guy,NOUN,0.56,0.6970470168598851,25
resembles,VERB,0.0,0.7026271345699845,6
cap,NOUN,0.0,1.1182981937301633,4
flat,ADJ,0.22727272727272727,0.7384445843780356,22
surface,NOUN,0.0,1.0611604285527685,3
that,ADJ,0.024691358024691357,0.5820072026933597,81
hmm,INTJ,0.0,0.8364313871768543,9
has,VERB,0.017241379310344827,0.537449209488473,116
going,VERB,0.1,1.0525586459142295,10
side,NOUN,0.06,0.6304163741312606,100
slightly,ADV,0.09090909090909091,0.7523742595956768,22
leaned,VERB,0.0,1.2025023325251847,2
against,ADP,0.3125,1.0337699066863433,16
wall,NOUN,0.2727272727272727,0.9828283279002785,11
object,NOUN,0.043478260869565216,0.3198279877779344,23
it,PRON,0.018867924528301886,0.43108762249917,159
backwards,ADV,0.15384615384615385,1.0609272355411805,13
points,NOUN,0.25,1.0061816359611893,8
middle,ADJ,0.0,0.5821559999126649,20
house,NOUN,1.0,1.0534837750853967,2
part,NOUN,0.0,0.9888485743288292,16
position,NOUN,0.0,1.0772844949243712,5
direction,NOUN,0.0,1.0460464987937867,2
are,VERB,0.0,0.6124093808028546,86
outstretched,ADJ,0.058823529411764705,1.0571698842235886,17
leaning,VERB,0.08823529411764706,0.9423603749976446,34
two,NUM,0.06944444444444445,0.747190247369505,72
square,ADJ,0.16793893129770993,0.5013784673963805,131
objects,NOUN,0.0,1.1813032549369846,2
touching,VERB,0.0,0.7711671324880434,8
i,PRON,0.07142857142857142,0.6900018234884436,28
have,VERB,0.0,0.8393736485766057,20
idea,NOUN,0.0,0.8123907896851773,2
how,ADV,0.0,0.7811050737714629,4
explain,VERB,0.0,0.9077942416861086,3
another,DET,0.0,0.8306743692307544,22
but,CCONJ,0.0,0.7346676754577107,56
n't,ADV,0.06666666666666667,0.8288195785382313,30
all,ADV,0.0,0.825170053442353,15
way,NOUN,0.0,0.8696978630477855,9
food,NOUN,0.0,0.9771442407673107,3
lying,VERB,0.0,1.0121401880235399,2
woman,NOUN,0.2727272727272727,0.9615127511384862,11
wide,ADJ,0.7142857142857143,1.273377204604296,7
rabbit,NOUN,0.75,1.232167591031714,24
pick,VERB,0.0,0.5781895151846749,10
last,ADJ,0.0,1.0525029075097816,9
you,PRON,0.03333333333333333,0.9264941075714758,30
picked,VERB,0.0,1.070304598693524,9
squatting,VERB,0.5384615384615384,1.0108159803486305,13
kicking,VERB,0.07142857142857142,1.0910748819535903,14
rock,NOUN,0.0,0.999330824613869,2
flying,VERB,0.6666666666666666,1.387075274222512,18
tail,NOUN,0.4,1.05639571055982,10
corner,NOUN,0.0,0.7720572927028441,19
kind,ADV,0.025,0.6932628727603449,40
attached,VERB,0.09090909090909091,0.8627230632573464,11
similar,ADJ,0.0,0.9305285978391865,11
look,VERB,0.02702702702702703,0.7843176448785723,37
they,PRON,0.0,0.5979339434339107,51
point,NOUN,0.04,0.8137689905985507,25
yes,INTJ,0.0,0.7770724008019819,29
block,NOUN,0.2857142857142857,0.9112527750731184,14
open,ADJ,0.25,1.3299488259032222,4
seems,VERB,0.0,0.43940685370779936,6
reclining,NOUN,0.3333333333333333,1.2290892399817777,3
blocky,ADJ,0.2,0.985985983906998,5
perfectly,ADV,0.0,1.009573032541325,3
centered,VERB,0.0,0.9499250336936214,2
body,NOUN,0.2153846153846154,0.627436279145268,65
an,DET,0.0,0.8524692405792521,45
upside,NOUN,0.14285714285714285,0.934875873575159,7
bird,NOUN,0.8333333333333334,0.8693581904720572,6
laying,VERB,0.3333333333333333,1.2280874137906599,9
tray,NOUN,0.3333333333333333,0.8093952945138455,12
angle,NOUN,0.0,1.0377117431284,5
rectangle,NOUN,0.34782608695652173,0.9228378772842888,23
only,ADV,0.0,0.8369479517242189,18
shoulders,NOUN,0.25,0.9894760781930161,4
downward,ADV,0.0,1.0892232573324225,2
slope,NOUN,0.0,1.1273858974738244,2
my,ADJ,0.0,0.424849050476639,8
figures,NOUN,0.0,0.9560590687272716,3
does,VERB,0.0,0.9052131251316672,18
zig,VERB,0.625,0.9038634534577844,8
zag,X,0.625,0.9038634534577844,8
figure,NOUN,0.1111111111111111,0.564922262525388,45
so,ADP,0.0,0.9505864305241016,11
form,NOUN,0.0,0.7144846318151817,3
beak,NOUN,0.4,0.9161828997149352,5
upper,ADJ,0.0,0.9206315926175526,2
resting,VERB,0.16666666666666666,0.9137477504450778,6
squared,VERB,0.0,0.9860984126718764,2
off,ADP,0.14285714285714285,0.7296199149571693,28
wider,ADJ,0.0,1.0054501859955982,2
tipping,VERB,0.0,0.8848732335897268,2
cliff,NOUN,0.625,0.9456714547887511,8
hanging,VERB,0.0,0.8489060558995094,10
knee,NOUN,0.18181818181818182,0.9320615115541617,11
begging,VERB,0.16666666666666666,0.8370715242213764,6
we,PRON,0.0,0.7236837732893006,9
need,VERB,0.0,0.7824158849224572,4
round,NOUN,0.0,0.9520647174865461,5
next,ADV,0.0,1.008138115143137,4
now,ADV,0.0,1.450884658448489,3
kick,NOUN,0.6,1.3451068741869157,5
sad,ADJ,0.5833333333333334,1.1856170023803676,12
did,VERB,0.0,0.8094591941810163,8
yet,ADV,0.0,0.7610612187423165,3
yeah,INTJ,0.0,0.827333933542239,7
ok,INTJ,0.0,0.8395568686180401,12
priest,NOUN,0.7142857142857143,1.260523097406542,7
tablet,NOUN,1.0,0.730465869014711,2
raised,VERB,0.06666666666666667,1.0042498924619436,15
extended,VERB,0.2,0.7480044639779575,10
