,gameid,repetitionNum,contents,intendedName,SBAR,PP,CC,NP
118,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,4,arms in y shape,C,,True,,True
119,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,4,bunny ears,E,,,,
120,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,5,arms in y,C,,True,,True
121,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,5,kneeling facing right,K,,,,
122,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,5,about to kneel,L,,,,True
123,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,5,woman with elbow raised,G,,True,,True
124,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,5,sitting knees bent,F,,,,True
125,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,5,"legless, facing us",H,,,,True
126,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,5,straight line on left,J,,True,,True
127,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,5,kneel arms spread left and right,B,,,True,True
128,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,5,stand 1 leg arms raised,A,,,,True
129,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,5,"stand 1 leg, other leg point to right",I,,True,,True
130,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,5,"standing facing left, holding plate",D,,,,True
131,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,5,bunny ears,E,,,,
132,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,6,"stand 1 leg, other leg points right",I,,,,True
133,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,6,"stand facing left, holding plate",D,,,,
134,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,6,woman with elbow raised,G,,True,,True
135,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,6,straight line on left,J,,True,,True
136,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,6,"stand 1 leg, both arms raised",A,,,,True
137,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,6,"kneel facing right, holds plate",K,,,,True
138,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,6,y arms,C,,,,True
139,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,6,kneel arms spread,B,,,,True
140,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,6,sit knees bent,F,,,,True
141,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,6,about to kneel,L,,,,True
142,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,6,bunny,E,,,,
143,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,6,legless sits facing us,H,,,,True
144,0413-e4a76b36-4367-4e30-abf9-93e823913630,1,"theres a triangle sticking out to the right, looks like a person with their knees bent to the right",L,,True,,True
145,0413-e4a76b36-4367-4e30-abf9-93e823913630,1,looks like a person standing with something in their hands facing left,D,,True,,True
146,0413-e4a76b36-4367-4e30-abf9-93e823913630,1,"triangles on left and right and a tilted box on top, looks kinda like someone is kneeling",B,,True,True,True
147,0413-e4a76b36-4367-4e30-abf9-93e823913630,1,"this one kinda weird, triangle on bottom and top right, box on top like a head, shaped like a 'J",G,,True,True,True
148,0413-e4a76b36-4367-4e30-abf9-93e823913630,1,"diamond for a head, pointed triangles sticking right, looks like someone kneeling again",K,,,,True
149,0413-e4a76b36-4367-4e30-abf9-93e823913630,1,"not much sticking out, kinda looks like used tooth paste",H,,True,,True
150,0413-e4a76b36-4367-4e30-abf9-93e823913630,1,looks like a guy facing left with a leg sticking up,A,,True,,True
151,0413-e4a76b36-4367-4e30-abf9-93e823913630,1,"resembles a bottle with a diamond shaped cap, flat surface that the diamond is sitting on",J,True,True,,True
152,0413-e4a76b36-4367-4e30-abf9-93e823913630,1,"hmm has kinda a t shape, with lots going on the left side, 2 triangles and a diamond on top",I,,True,True,True
153,0413-e4a76b36-4367-4e30-abf9-93e823913630,1,looks like a mountain side with a cube and 2 triangles on top,E,,True,True,True
154,0413-e4a76b36-4367-4e30-abf9-93e823913630,1,"looks like a person sitting down with legs slightly bent, like leaned up against a wall",F,,True,,True
155,0413-e4a76b36-4367-4e30-abf9-93e823913630,2,'J' shape again,G,,,,
156,0413-e4a76b36-4367-4e30-abf9-93e823913630,2,person kneeling with 2 diamonds on top,K,,True,,True
157,0413-e4a76b36-4367-4e30-abf9-93e823913630,2,weird t or y shape with triangles+diamond on left side,I,,True,True,True
158,0413-e4a76b36-4367-4e30-abf9-93e823913630,2,"looks like a man with both arms raised into the air, leaning left",C,,True,,True
159,0413-e4a76b36-4367-4e30-abf9-93e823913630,2,mountain side with cube and triangles on top,E,,True,True,True
160,0413-e4a76b36-4367-4e30-abf9-93e823913630,2,man holding an object facing left,D,,,,True
161,0413-e4a76b36-4367-4e30-abf9-93e823913630,2,man with leg lifted in the air facing left,A,,True,,True
162,0413-e4a76b36-4367-4e30-abf9-93e823913630,2,used toothpaste again,H,,,,
163,0413-e4a76b36-4367-4e30-abf9-93e823913630,2,man on knees with triangles facing left and right,B,,True,True,True
164,0413-e4a76b36-4367-4e30-abf9-93e823913630,2,bent legs facing right with triangle sticking out,L,,,,True
165,0413-e4a76b36-4367-4e30-abf9-93e823913630,2,man sitting up against a wall,F,,True,,True
166,0413-e4a76b36-4367-4e30-abf9-93e823913630,2,diamond on top a table or head,J,,True,True,True
167,0413-e4a76b36-4367-4e30-abf9-93e823913630,3,triangles facing left and right with diamond on top,B,,True,True,True
168,0413-e4a76b36-4367-4e30-abf9-93e823913630,3,two diamonds on top and 2 triangle sticking right,K,,True,True,True
169,0413-e4a76b36-4367-4e30-abf9-93e823913630,3,man holding an object to the left,D,,True,,True
170,0413-e4a76b36-4367-4e30-abf9-93e823913630,3,diamond on top head/table,J,,True,,True
171,0413-e4a76b36-4367-4e30-abf9-93e823913630,3,"knees bent, triangle right, diamond top",L,,,,True
172,0413-e4a76b36-4367-4e30-abf9-93e823913630,3,diamond on top two triangles facing left,I,,True,,True
173,0413-e4a76b36-4367-4e30-abf9-93e823913630,3,"mountain side, diamond 2 triangles",E,,,,True
174,0413-e4a76b36-4367-4e30-abf9-93e823913630,3,man with hands in the air,C,,True,,True
175,0413-e4a76b36-4367-4e30-abf9-93e823913630,3,man with a leg up,A,,True,,True
