,gameid,intendedName,repetitionNum,x_tsne,y_tsne
0,0057-414228f8-c268-40d6-9349-b35df4f080d9,A,1,-0.54879546,11.614774
1,0057-414228f8-c268-40d6-9349-b35df4f080d9,A,2,16.156506,3.3948078
2,0057-414228f8-c268-40d6-9349-b35df4f080d9,A,3,15.766376,2.989846
3,0057-414228f8-c268-40d6-9349-b35df4f080d9,A,4,16.324682,3.0800958
4,0057-414228f8-c268-40d6-9349-b35df4f080d9,A,5,16.08265,2.830987
5,0057-414228f8-c268-40d6-9349-b35df4f080d9,A,6,15.814695,3.3342912
6,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,A,1,-8.73419,-9.314289
7,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,A,2,2.6074955,-12.690983
8,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,A,3,6.5994787,-16.984922
9,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,A,4,6.1751347,-13.039454
10,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,A,5,6.2109966,-16.94296
11,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,A,6,6.424343,-17.799345
12,0413-e4a76b36-4367-4e30-abf9-93e823913630,A,1,-5.705176,-24.293392
13,0413-e4a76b36-4367-4e30-abf9-93e823913630,A,2,-5.465042,-17.379524
14,0413-e4a76b36-4367-4e30-abf9-93e823913630,A,3,-6.493911,-22.401922
15,0413-e4a76b36-4367-4e30-abf9-93e823913630,A,4,-6.0978727,-21.833794
16,0413-e4a76b36-4367-4e30-abf9-93e823913630,A,5,-5.9212637,-22.491919
17,0413-e4a76b36-4367-4e30-abf9-93e823913630,A,6,-6.8057795,-21.922707
18,0461-f522f8f4-37dc-4bb0-89bf-9f6bcf43274a,A,1,-2.209256,-5.1055937
19,0461-f522f8f4-37dc-4bb0-89bf-9f6bcf43274a,A,2,-12.141034,-15.123189
20,0461-f522f8f4-37dc-4bb0-89bf-9f6bcf43274a,A,3,-11.5281925,-15.48756
21,0461-f522f8f4-37dc-4bb0-89bf-9f6bcf43274a,A,4,-12.216015,-15.78181
22,0461-f522f8f4-37dc-4bb0-89bf-9f6bcf43274a,A,5,-13.035493,-15.430114
23,0461-f522f8f4-37dc-4bb0-89bf-9f6bcf43274a,A,6,-14.821437,-8.39409
24,0711-b03679d3-9904-4263-bd2f-8ec8e7a45af7,A,1,-13.519783,-0.17177837
