,gameid,intendedName,repetitionNum,x_tsne,y_tsne
25,0711-b03679d3-9904-4263-bd2f-8ec8e7a45af7,A,2,-13.519839,-0.17179203
26,0711-b03679d3-9904-4263-bd2f-8ec8e7a45af7,A,3,-13.520581,-0.17208038
27,0711-b03679d3-9904-4263-bd2f-8ec8e7a45af7,A,4,-15.08054,-0.4569017
28,0711-b03679d3-9904-4263-bd2f-8ec8e7a45af7,A,5,-15.012633,-0.4432124
29,0711-b03679d3-9904-4263-bd2f-8ec8e7a45af7,A,6,10.335012,-9.6745825
30,0723-9b842133-a121-4b53-9c37-784e6023e022,A,1,-3.7072632,-3.0211449
31,0723-9b842133-a121-4b53-9c37-784e6023e022,A,2,-0.08420992,-17.137611
32,0723-9b842133-a121-4b53-9c37-784e6023e022,A,3,-18.953901,-1.2381485
33,0723-9b842133-a121-4b53-9c37-784e6023e022,A,4,-18.981949,-1.6492188
34,0723-9b842133-a121-4b53-9c37-784e6023e022,A,5,-19.156342,-1.4327635
35,0723-9b842133-a121-4b53-9c37-784e6023e022,A,6,-18.776817,-1.4658648
36,0785-68fedef2-3b2f-466f-a7c3-ab464e5811ca,A,1,9.625689,-5.061598
37,0785-68fedef2-3b2f-466f-a7c3-ab464e5811ca,A,2,10.152621,-3.72324
38,0785-68fedef2-3b2f-466f-a7c3-ab464e5811ca,A,3,10.195623,-3.943226
39,0785-68fedef2-3b2f-466f-a7c3-ab464e5811ca,A,4,10.152612,-3.7233164
40,0785-68fedef2-3b2f-466f-a7c3-ab464e5811ca,A,5,13.192786,-4.0064335
41,0785-68fedef2-3b2f-466f-a7c3-ab464e5811ca,A,6,9.26775,-2.7254066
42,1202-a64916b2-49d2-4ca4-bd76-cfd3e1ec3954,A,1,-24.468845,-0.46236718
43,1202-a64916b2-49d2-4ca4-bd76-cfd3e1ec3954,A,2,-23.894459,-0.4543504
44,1202-a64916b2-49d2-4ca4-bd76-cfd3e1ec3954,A,3,-8.050572,-13.668685
45,1202-a64916b2-49d2-4ca4-bd76-cfd3e1ec3954,A,4,-24.359837,-0.115015954
46,1202-a64916b2-49d2-4ca4-bd76-cfd3e1ec3954,A,5,-24.182076,-0.66800386
47,1202-a64916b2-49d2-4ca4-bd76-cfd3e1ec3954,A,6,-24.007086,-0.11010381
48,1242-e6fcc1c9-ab33-44c7-b31c-4a391beb2b8c,A,1,-0.26655146,-14.830269
49,1242-e6fcc1c9-ab33-44c7-b31c-4a391beb2b8c,A,2,9.577193,7.255304
50,1242-e6fcc1c9-ab33-44c7-b31c-4a391beb2b8c,A,3,10.281703,8.0214
51,1242-e6fcc1c9-ab33-44c7-b31c-4a391beb2b8c,A,4,10.47447,7.796357
52,1242-e6fcc1c9-ab33-44c7-b31c-4a391beb2b8c,A,5,10.47447,7.796357
53,1242-e6fcc1c9-ab33-44c7-b31c-4a391beb2b8c,A,6,10.281704,8.021401
54,1526-db8d7e61-c668-4fe2-9119-cbf018ccb1c1,A,1,-6.82617,-4.6421757
55,1526-db8d7e61-c668-4fe2-9119-cbf018ccb1c1,A,2,6.2646,12.096635
56,1526-db8d7e61-c668-4fe2-9119-cbf018ccb1c1,A,3,5.0881133,12.468607
57,1526-db8d7e61-c668-4fe2-9119-cbf018ccb1c1,A,4,5.3412704,13.319735
58,1526-db8d7e61-c668-4fe2-9119-cbf018ccb1c1,A,5,5.090952,12.471433
59,1526-db8d7e61-c668-4fe2-9119-cbf018ccb1c1,A,6,5.0882974,12.471157
60,1567-e80221b4-f349-4b3b-9921-224ee47eea1f,A,1,1.3552378,0.44704017
61,1567-e80221b4-f349-4b3b-9921-224ee47eea1f,A,2,-8.387779,16.235117
62,1567-e80221b4-f349-4b3b-9921-224ee47eea1f,A,3,-8.790679,15.20254
63,1567-e80221b4-f349-4b3b-9921-224ee47eea1f,A,4,-8.16897,15.605063
64,1567-e80221b4-f349-4b3b-9921-224ee47eea1f,A,5,-7.675959,15.134826
65,1598-17655913-31a4-4ca6-b86c-383db06bfde9,A,1,1.8818159,-6.028088
66,1598-17655913-31a4-4ca6-b86c-383db06bfde9,A,2,2.125602,-8.555618
67,1598-17655913-31a4-4ca6-b86c-383db06bfde9,A,3,3.0344884,1.1068224
68,1598-17655913-31a4-4ca6-b86c-383db06bfde9,A,4,9.09472,24.089443
69,1598-17655913-31a4-4ca6-b86c-383db06bfde9,A,5,9.094816,24.08944
70,1598-17655913-31a4-4ca6-b86c-383db06bfde9,A,6,9.094729,24.089443
71,1624-fe1e73c3-3feb-4949-8e71-31e9f955db53,A,1,-3.3919246,-0.7840214
72,1624-fe1e73c3-3feb-4949-8e71-31e9f955db53,A,2,-18.336514,12.763205
73,1624-fe1e73c3-3feb-4949-8e71-31e9f955db53,A,3,-7.104088,-0.48300946
74,1670-7a1fc24b-6599-4efb-8a98-22ce7368261a,A,1,16.508013,-12.579994
75,1670-7a1fc24b-6599-4efb-8a98-22ce7368261a,A,2,16.603502,-13.3570385
76,1670-7a1fc24b-6599-4efb-8a98-22ce7368261a,A,3,-15.576374,4.482954
77,1670-7a1fc24b-6599-4efb-8a98-22ce7368261a,A,4,17.051535,-13.301134
78,1670-7a1fc24b-6599-4efb-8a98-22ce7368261a,A,5,17.229498,-12.885043
79,1670-7a1fc24b-6599-4efb-8a98-22ce7368261a,A,6,16.332045,-12.998729
80,1747-31c92e68-6900-4f75-b1d5-f0fe4ea823a3,A,1,0.0054293615,-5.2556915
81,1747-31c92e68-6900-4f75-b1d5-f0fe4ea823a3,A,2,-7.438183,15.669647
82,1747-31c92e68-6900-4f75-b1d5-f0fe4ea823a3,A,3,23.366678,1.12288
83,1747-31c92e68-6900-4f75-b1d5-f0fe4ea823a3,A,4,23.359558,1.255328
84,1747-31c92e68-6900-4f75-b1d5-f0fe4ea823a3,A,5,23.22235,1.2521553
85,1747-31c92e68-6900-4f75-b1d5-f0fe4ea823a3,A,6,23.222599,1.1196882
86,2002-d128dee1-72d2-4585-9488-fcedfabe7722,A,1,4.4940443,-2.715965
87,2002-d128dee1-72d2-4585-9488-fcedfabe7722,A,2,4.9248533,-2.5014658
88,2002-d128dee1-72d2-4585-9488-fcedfabe7722,A,3,-4.6198215,-13.089514
89,2002-d128dee1-72d2-4585-9488-fcedfabe7722,A,4,-5.0538864,-12.790859
90,2002-d128dee1-72d2-4585-9488-fcedfabe7722,A,5,-5.285975,-13.540438
91,2223-ecc53ef3-7e9a-4776-b7c5-6811400d1a65,A,1,1.8292321,-0.38094473
92,2223-ecc53ef3-7e9a-4776-b7c5-6811400d1a65,A,2,2.1291986,-0.72129256
93,2223-ecc53ef3-7e9a-4776-b7c5-6811400d1a65,A,3,10.297209,13.425007
94,2223-ecc53ef3-7e9a-4776-b7c5-6811400d1a65,A,4,10.2326565,13.683707
95,2223-ecc53ef3-7e9a-4776-b7c5-6811400d1a65,A,5,16.955603,-12.524872
96,2223-ecc53ef3-7e9a-4776-b7c5-6811400d1a65,A,6,11.575193,19.57049
97,2403-abcbe4e3-634c-40ec-89f8-95a95baedff9,A,1,-5.9915347,6.4506135
98,2403-abcbe4e3-634c-40ec-89f8-95a95baedff9,A,2,-6.33017,6.571869
99,2403-abcbe4e3-634c-40ec-89f8-95a95baedff9,A,3,-6.050812,7.250348
100,2403-abcbe4e3-634c-40ec-89f8-95a95baedff9,A,4,-5.7071366,7.1178308
101,2403-abcbe4e3-634c-40ec-89f8-95a95baedff9,A,5,-5.654949,6.7113714
102,2403-abcbe4e3-634c-40ec-89f8-95a95baedff9,A,6,-6.410806,6.985269
103,2535-a47c997d-4aac-43f5-adad-6d8e492ba2eb,A,1,-4.360564,-4.66106
104,2535-a47c997d-4aac-43f5-adad-6d8e492ba2eb,A,2,14.523961,19.61434
105,2535-a47c997d-4aac-43f5-adad-6d8e492ba2eb,A,3,2.6845503,-14.039408
106,2535-a47c997d-4aac-43f5-adad-6d8e492ba2eb,A,4,8.414902,18.46757
107,2535-a47c997d-4aac-43f5-adad-6d8e492ba2eb,A,5,8.4149,18.467571
108,2535-a47c997d-4aac-43f5-adad-6d8e492ba2eb,A,6,12.810883,18.418169
109,3296-212e4ca6-9ec7-4e38-bacf-a739c9812e48,A,1,1.389152,9.737805
110,3296-212e4ca6-9ec7-4e38-bacf-a739c9812e48,A,2,2.0392435,11.691358
111,3296-212e4ca6-9ec7-4e38-bacf-a739c9812e48,A,3,2.043464,11.694825
112,3296-212e4ca6-9ec7-4e38-bacf-a739c9812e48,A,4,2.2190766,11.459362
113,3296-212e4ca6-9ec7-4e38-bacf-a739c9812e48,A,5,2.2202501,11.457731
114,3296-212e4ca6-9ec7-4e38-bacf-a739c9812e48,A,6,5.9270797,-24.65418
115,3321-5540179d-7955-4363-b9d2-e392f26a1256,A,1,21.874481,12.433622
116,3321-5540179d-7955-4363-b9d2-e392f26a1256,A,2,21.37497,12.561698
117,3321-5540179d-7955-4363-b9d2-e392f26a1256,A,3,22.113108,11.985259
118,3321-5540179d-7955-4363-b9d2-e392f26a1256,A,4,21.428795,11.449816
119,3321-5540179d-7955-4363-b9d2-e392f26a1256,A,5,21.004488,12.205558
120,3321-5540179d-7955-4363-b9d2-e392f26a1256,A,6,15.989215,9.618032
121,3419-7061f84e-30ba-48dc-9bc3-133c5fdf8fa3,A,1,-11.082371,-7.1294684
122,3419-7061f84e-30ba-48dc-9bc3-133c5fdf8fa3,A,2,-9.77686,-7.9360366
123,3419-7061f84e-30ba-48dc-9bc3-133c5fdf8fa3,A,3,-9.367875,-21.746958
124,3419-7061f84e-30ba-48dc-9bc3-133c5fdf8fa3,A,4,-6.4671593,-19.606428
125,3419-7061f84e-30ba-48dc-9bc3-133c5fdf8fa3,A,5,-5.290632,-19.833687
126,3419-7061f84e-30ba-48dc-9bc3-133c5fdf8fa3,A,6,-6.470454,-19.607082
127,3453-2eab60c9-d1cd-4245-919c-c499f303740e,A,1,12.830253,16.518024
128,3453-2eab60c9-d1cd-4245-919c-c499f303740e,A,2,11.309508,19.070944
129,3453-2eab60c9-d1cd-4245-919c-c499f303740e,A,3,13.533766,14.504312
130,3453-2eab60c9-d1cd-4245-919c-c499f303740e,A,4,13.83475,14.520198
131,3453-2eab60c9-d1cd-4245-919c-c499f303740e,A,5,13.730611,14.650823
132,3453-2eab60c9-d1cd-4245-919c-c499f303740e,A,6,13.647436,14.356951
133,3617-9ac86786-87e4-468d-bbd9-ffdb2a55bf4e,A,1,-6.559812,-6.1403203
134,3617-9ac86786-87e4-468d-bbd9-ffdb2a55bf4e,A,2,-5.841804,3.2218096
135,3752-a8b52b62-f711-4601-a8cc-a8afddd35560,A,1,-8.968329,-8.903637
136,3752-a8b52b62-f711-4601-a8cc-a8afddd35560,A,2,5.456222,-15.157138
137,3752-a8b52b62-f711-4601-a8cc-a8afddd35560,A,3,5.9418244,-17.67922
138,3752-a8b52b62-f711-4601-a8cc-a8afddd35560,A,4,6.1751184,-13.039418
139,3752-a8b52b62-f711-4601-a8cc-a8afddd35560,A,5,5.8295126,-17.267235
140,3752-a8b52b62-f711-4601-a8cc-a8afddd35560,A,6,6.752734,-17.465157
141,4011-501727ae-d5dc-405f-8450-3cca55fc99e7,A,1,-5.3926086,-4.583964
142,4011-501727ae-d5dc-405f-8450-3cca55fc99e7,A,2,-5.674431,3.1914954
143,4011-501727ae-d5dc-405f-8450-3cca55fc99e7,A,3,7.0358257,-7.554077
144,4011-501727ae-d5dc-405f-8450-3cca55fc99e7,A,4,6.6175556,-6.63106
145,4011-501727ae-d5dc-405f-8450-3cca55fc99e7,A,5,6.6175556,-6.6310573
146,4011-501727ae-d5dc-405f-8450-3cca55fc99e7,A,6,6.617556,-6.63106
147,4045-c97cdcce-7538-408d-b8dd-5de0f2de8574,A,1,5.9354424,-2.0854843
148,4045-c97cdcce-7538-408d-b8dd-5de0f2de8574,A,2,7.650289,-2.364646
149,4045-c97cdcce-7538-408d-b8dd-5de0f2de8574,A,3,12.715284,-4.192458
150,4045-c97cdcce-7538-408d-b8dd-5de0f2de8574,A,4,13.281988,-3.508922
151,4045-c97cdcce-7538-408d-b8dd-5de0f2de8574,A,5,12.438862,-3.7981055
152,4045-c97cdcce-7538-408d-b8dd-5de0f2de8574,A,6,12.477929,-3.289318
153,4090-bf4b8726-1596-4231-84d9-718a2a37eee3,A,1,-6.529789,11.0225525
154,4090-bf4b8726-1596-4231-84d9-718a2a37eee3,A,2,-7.2230816,11.00959
155,4090-bf4b8726-1596-4231-84d9-718a2a37eee3,A,3,-7.076651,12.033483
156,4090-bf4b8726-1596-4231-84d9-718a2a37eee3,A,4,-7.5401073,12.387625
157,4090-bf4b8726-1596-4231-84d9-718a2a37eee3,A,5,-7.8210855,12.017593
158,4090-bf4b8726-1596-4231-84d9-718a2a37eee3,A,6,-7.638589,11.821962
159,4369-cd2d1d26-3bf9-4e54-a79a-2aacea53b331,A,1,-4.0353703,-6.824276
160,4369-cd2d1d26-3bf9-4e54-a79a-2aacea53b331,A,2,-10.312303,-5.1802917
161,4369-cd2d1d26-3bf9-4e54-a79a-2aacea53b331,A,3,-11.254681,-4.760808
162,4369-cd2d1d26-3bf9-4e54-a79a-2aacea53b331,A,4,-10.80804,-3.8650496
163,4369-cd2d1d26-3bf9-4e54-a79a-2aacea53b331,A,5,-11.254681,-4.760808
164,4369-cd2d1d26-3bf9-4e54-a79a-2aacea53b331,A,6,-11.254879,-4.7606816
165,4505-8cf1d946-db8a-413a-93bd-97bb5ba3fda6,A,1,1.3912613,-23.761757
166,4505-8cf1d946-db8a-413a-93bd-97bb5ba3fda6,A,2,4.990054,-24.33295
167,4505-8cf1d946-db8a-413a-93bd-97bb5ba3fda6,A,3,4.5703645,-24.7337
168,4505-8cf1d946-db8a-413a-93bd-97bb5ba3fda6,A,4,4.844354,-25.727602
169,4505-8cf1d946-db8a-413a-93bd-97bb5ba3fda6,A,5,5.538323,-24.175163
170,4505-8cf1d946-db8a-413a-93bd-97bb5ba3fda6,A,6,7.2219453,-12.860598
171,4513-c541e940-73fd-46b6-b19c-221458a22970,A,1,-2.4921663,0.32199365
172,4513-c541e940-73fd-46b6-b19c-221458a22970,A,2,-18.645124,12.177178
173,4513-c541e940-73fd-46b6-b19c-221458a22970,A,3,-19.838835,12.190482
174,4513-c541e940-73fd-46b6-b19c-221458a22970,A,4,-18.827164,13.997134
175,4513-c541e940-73fd-46b6-b19c-221458a22970,A,5,-19.657667,13.150405
176,4513-c541e940-73fd-46b6-b19c-221458a22970,A,6,-20.409122,13.20815
177,4676-a65ba686-b220-4f71-91d6-0fbf1138e726,A,1,3.8564522,-14.314737
178,4676-a65ba686-b220-4f71-91d6-0fbf1138e726,A,2,5.1817904,-15.959659
179,4676-a65ba686-b220-4f71-91d6-0fbf1138e726,A,3,5.6468897,-13.866963
180,4676-a65ba686-b220-4f71-91d6-0fbf1138e726,A,4,3.8564522,-14.314737
181,4676-a65ba686-b220-4f71-91d6-0fbf1138e726,A,5,5.900754,-25.258976
182,4676-a65ba686-b220-4f71-91d6-0fbf1138e726,A,6,4.380407,-25.29668
183,4729-d4a13957-3f36-496d-8eea-8c528e25740e,A,1,-3.4736404,-10.298829
184,4803-a27d2cc6-e504-4f67-8216-22679d81b1a6,A,1,-0.38416582,-8.325713
185,4803-a27d2cc6-e504-4f67-8216-22679d81b1a6,A,2,16.940395,9.962501
186,4803-a27d2cc6-e504-4f67-8216-22679d81b1a6,A,3,18.293045,13.218004
187,4803-a27d2cc6-e504-4f67-8216-22679d81b1a6,A,4,18.473494,13.146282
188,4803-a27d2cc6-e504-4f67-8216-22679d81b1a6,A,5,18.259298,12.9232435
189,4803-a27d2cc6-e504-4f67-8216-22679d81b1a6,A,6,18.259298,12.9232435
190,4824-58d5c545-a718-4653-89db-4be922da59d7,A,1,-3.3522959,6.3386993
191,4824-58d5c545-a718-4653-89db-4be922da59d7,A,2,-3.267235,7.304145
192,4824-58d5c545-a718-4653-89db-4be922da59d7,A,3,-3.4209406,6.345428
193,4843-98b6ce35-ee60-474f-8281-9a944213f01e,A,1,-7.969203,3.200199
194,4843-98b6ce35-ee60-474f-8281-9a944213f01e,A,2,-13.81875,-11.896794
195,4843-98b6ce35-ee60-474f-8281-9a944213f01e,A,3,-12.115569,-11.7308655
196,4843-98b6ce35-ee60-474f-8281-9a944213f01e,A,4,-12.114191,-11.729455
197,4843-98b6ce35-ee60-474f-8281-9a944213f01e,A,5,-12.113747,-11.72981
198,4843-98b6ce35-ee60-474f-8281-9a944213f01e,A,6,-13.740922,-12.296098
199,4853-e6b0e457-f035-428e-be9a-9191a3a4a222,A,1,3.1222541,3.4673998
200,4853-e6b0e457-f035-428e-be9a-9191a3a4a222,A,2,-0.9527403,-18.694574
201,4853-e6b0e457-f035-428e-be9a-9191a3a4a222,A,3,5.2012243,-25.008284
202,5032-f97819b4-cbef-4293-9d27-81134172edac,A,1,-1.2011968,-11.554729
203,5032-f97819b4-cbef-4293-9d27-81134172edac,A,4,-1.4728807,6.1212525
204,5032-f97819b4-cbef-4293-9d27-81134172edac,A,5,-2.2510035,5.52256
205,5032-f97819b4-cbef-4293-9d27-81134172edac,A,6,-1.4726427,6.121342
206,5100-ae37a906-ac5a-4cf2-b89a-aeb68b66e2b2,A,1,0.058922242,4.10885
207,5100-ae37a906-ac5a-4cf2-b89a-aeb68b66e2b2,A,2,0.059877485,4.108713
208,5108-ab2d0b72-034a-4f00-991a-416faf93c98c,A,1,-5.5901065,-3.6892288
209,5108-ab2d0b72-034a-4f00-991a-416faf93c98c,A,2,-6.9157543,-1.7819769
210,5108-ab2d0b72-034a-4f00-991a-416faf93c98c,A,3,-6.442369,-2.8199027
211,5108-ab2d0b72-034a-4f00-991a-416faf93c98c,A,4,0.85211676,-16.6659
212,5108-ab2d0b72-034a-4f00-991a-416faf93c98c,A,5,5.459897,-25.688736
213,5154-e7f636b5-f787-4bef-be2b-83083fd48c28,A,1,-4.2245865,-21.899488
214,5154-e7f636b5-f787-4bef-be2b-83083fd48c28,A,2,2.2804582,-4.8174367
215,5154-e7f636b5-f787-4bef-be2b-83083fd48c28,A,3,-16.273468,5.0673246
216,5154-e7f636b5-f787-4bef-be2b-83083fd48c28,A,4,-16.273468,5.0673246
217,5154-e7f636b5-f787-4bef-be2b-83083fd48c28,A,5,-15.9921055,5.2969565
218,5154-e7f636b5-f787-4bef-be2b-83083fd48c28,A,6,-15.9921055,5.2969565
219,5192-8023d95b-29c5-49aa-a245-42924607dd4b,A,1,-3.6818497,-10.033501
220,5192-8023d95b-29c5-49aa-a245-42924607dd4b,A,2,-2.3682585,-8.2688265
221,5192-8023d95b-29c5-49aa-a245-42924607dd4b,A,3,9.491898,-21.305557
222,5192-8023d95b-29c5-49aa-a245-42924607dd4b,A,4,10.621813,-20.833103
223,5192-8023d95b-29c5-49aa-a245-42924607dd4b,A,5,9.4918785,-21.305527
224,5192-8023d95b-29c5-49aa-a245-42924607dd4b,A,6,9.491667,-21.305614
225,5315-f238c198-20c0-4162-932c-76cb0ad9e5b8,A,1,-9.7254505,-7.711864
226,5315-f238c198-20c0-4162-932c-76cb0ad9e5b8,A,2,-18.527197,-10.608893
227,5315-f238c198-20c0-4162-932c-76cb0ad9e5b8,A,3,-17.838524,-10.271005
228,5315-f238c198-20c0-4162-932c-76cb0ad9e5b8,A,4,-2.2591662,-2.2037976
229,5315-f238c198-20c0-4162-932c-76cb0ad9e5b8,A,5,-18.331463,-10.936047
230,5315-f238c198-20c0-4162-932c-76cb0ad9e5b8,A,6,-17.747747,-10.6357975
231,5693-668d2b0f-d15b-4769-acdf-8017caffe1e5,A,1,-4.3358226,-20.495733
232,5693-668d2b0f-d15b-4769-acdf-8017caffe1e5,A,2,-6.702447,-21.37363
233,5693-668d2b0f-d15b-4769-acdf-8017caffe1e5,A,3,-6.193486,-21.200468
234,5693-668d2b0f-d15b-4769-acdf-8017caffe1e5,A,4,-5.4248,-21.671062
235,5693-668d2b0f-d15b-4769-acdf-8017caffe1e5,A,5,-5.659561,-21.2578
236,5693-668d2b0f-d15b-4769-acdf-8017caffe1e5,A,6,-5.464803,-22.243822
237,5774-0e16513f-9938-4b1e-a647-86933d7ef911,A,1,2.7667196,5.413803
238,5774-0e16513f-9938-4b1e-a647-86933d7ef911,A,2,-1.7459497,13.297101
239,5774-0e16513f-9938-4b1e-a647-86933d7ef911,A,3,2.855503,16.258009
240,5792-f5aa5cf6-b3d0-4444-8442-4ef42e3b7c08,A,1,-7.2370334,-4.8597913
241,5792-f5aa5cf6-b3d0-4444-8442-4ef42e3b7c08,A,2,-8.102158,-12.3953495
242,5792-f5aa5cf6-b3d0-4444-8442-4ef42e3b7c08,A,3,-15.416058,-9.47077
243,5792-f5aa5cf6-b3d0-4444-8442-4ef42e3b7c08,A,4,-19.192474,12.731935
244,5792-f5aa5cf6-b3d0-4444-8442-4ef42e3b7c08,A,5,-20.074074,13.787632
245,5792-f5aa5cf6-b3d0-4444-8442-4ef42e3b7c08,A,6,-19.294256,11.980327
246,5851-2c495782-8cef-496e-abba-1730655488cb,A,1,19.518766,9.217265
247,5851-2c495782-8cef-496e-abba-1730655488cb,A,2,20.263393,9.123274
248,5851-2c495782-8cef-496e-abba-1730655488cb,A,3,19.882137,9.369333
249,5851-2c495782-8cef-496e-abba-1730655488cb,A,4,19.841906,8.533999
250,5851-2c495782-8cef-496e-abba-1730655488cb,A,5,19.485182,8.773859
251,5851-2c495782-8cef-496e-abba-1730655488cb,A,6,20.256727,8.724184
252,5964-47d6642b-ed6a-4458-8592-8919b41eda6e,A,1,7.6211696,12.2569685
253,5964-47d6642b-ed6a-4458-8592-8919b41eda6e,A,2,8.759844,15.28925
254,5964-47d6642b-ed6a-4458-8592-8919b41eda6e,A,3,12.833081,18.937498
255,5964-47d6642b-ed6a-4458-8592-8919b41eda6e,A,4,11.375562,18.532393
256,5964-47d6642b-ed6a-4458-8592-8919b41eda6e,A,5,12.089891,18.919622
257,5964-47d6642b-ed6a-4458-8592-8919b41eda6e,A,6,12.313596,18.09984
258,6064-6e0d77e9-b8e8-4a65-97d2-320567c486cc,A,1,-9.004371,4.1634793
259,6064-6e0d77e9-b8e8-4a65-97d2-320567c486cc,A,2,-10.782221,4.6604033
260,6064-6e0d77e9-b8e8-4a65-97d2-320567c486cc,A,3,-5.346227,-5.5158277
261,6064-6e0d77e9-b8e8-4a65-97d2-320567c486cc,A,4,-10.616708,5.288974
262,6064-6e0d77e9-b8e8-4a65-97d2-320567c486cc,A,5,-10.502774,4.955492
263,6064-6e0d77e9-b8e8-4a65-97d2-320567c486cc,A,6,-11.074197,4.8490477
264,6254-50e82f4c-5a88-4a7a-a1f1-53f6b5d4f778,A,1,-2.2636569,-0.5899014
265,6254-50e82f4c-5a88-4a7a-a1f1-53f6b5d4f778,A,2,-2.745108,11.646655
266,6254-50e82f4c-5a88-4a7a-a1f1-53f6b5d4f778,A,3,-2.5150783,12.216311
267,6254-50e82f4c-5a88-4a7a-a1f1-53f6b5d4f778,A,4,-2.6456218,12.11635
268,6254-50e82f4c-5a88-4a7a-a1f1-53f6b5d4f778,A,5,-7.07289,12.257461
269,6254-50e82f4c-5a88-4a7a-a1f1-53f6b5d4f778,A,6,-20.270254,12.549409
270,6335-f2ee42fb-60a5-4238-9bfc-e23b14160049,A,1,0.42259687,-4.279555
271,6335-f2ee42fb-60a5-4238-9bfc-e23b14160049,A,2,-0.47002667,-13.604211
272,6335-f2ee42fb-60a5-4238-9bfc-e23b14160049,A,3,-0.4093928,-12.380882
273,6335-f2ee42fb-60a5-4238-9bfc-e23b14160049,A,4,-7.185722,-0.5910031
274,6335-f2ee42fb-60a5-4238-9bfc-e23b14160049,A,5,-7.542895,-0.4540523
275,6335-f2ee42fb-60a5-4238-9bfc-e23b14160049,A,6,-2.79948,-15.523581
276,6402-3db6c45b-0b53-4906-b5cf-17517d013671,A,1,-1.577127,-3.5820513
277,6402-3db6c45b-0b53-4906-b5cf-17517d013671,A,2,-2.578401,-7.5479236
278,6402-3db6c45b-0b53-4906-b5cf-17517d013671,A,4,-8.277829,3.5733984
279,6413-5ebde90e-fb15-4c9b-a6f9-0934ba1cc2a1,A,1,8.745348,2.2788627
280,6413-5ebde90e-fb15-4c9b-a6f9-0934ba1cc2a1,A,2,9.121811,2.366707
281,6413-5ebde90e-fb15-4c9b-a6f9-0934ba1cc2a1,A,3,10.492803,2.5881553
282,6413-5ebde90e-fb15-4c9b-a6f9-0934ba1cc2a1,A,4,10.403398,2.9391394
283,6413-5ebde90e-fb15-4c9b-a6f9-0934ba1cc2a1,A,5,10.403398,2.9391394
284,6413-5ebde90e-fb15-4c9b-a6f9-0934ba1cc2a1,A,6,10.492803,2.5881553
285,6488-1c981017-2f98-48e2-88b2-b8a814c93bc1,A,1,0.7682713,-5.5099263
286,6488-1c981017-2f98-48e2-88b2-b8a814c93bc1,A,2,0.807602,-5.980633
287,6488-1c981017-2f98-48e2-88b2-b8a814c93bc1,A,3,1.7365537,-7.2341757
288,6488-1c981017-2f98-48e2-88b2-b8a814c93bc1,A,4,2.0227659,-7.5964875
289,6488-1c981017-2f98-48e2-88b2-b8a814c93bc1,A,5,2.3021047,-8.106497
290,6488-1c981017-2f98-48e2-88b2-b8a814c93bc1,A,6,1.5017737,-6.7762127
291,6956-00137ff0-3569-4135-81ab-8c0453a2f6ce,A,1,6.3690286,12.223093
