,gameid,intendedName,repetitionNum,x_tsne,y_tsne,correct,is_nan
0,0057-414228f8-c268-40d6-9349-b35df4f080d9,A,1,-1.9952494,9.446945,1,False
1,0057-414228f8-c268-40d6-9349-b35df4f080d9,A,2,-14.171961,27.21368,1,False
2,0057-414228f8-c268-40d6-9349-b35df4f080d9,A,3,-13.809757,27.67924,1,False
3,0057-414228f8-c268-40d6-9349-b35df4f080d9,A,4,-13.273728,26.891277,1,False
4,0057-414228f8-c268-40d6-9349-b35df4f080d9,A,5,-13.840817,26.72743,1,False
5,0057-414228f8-c268-40d6-9349-b35df4f080d9,A,6,-13.255382,27.48103,1,False
6,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,A,1,3.3424342,-15.768363,0,False
7,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,A,2,-0.68908405,-11.994286,0,False
8,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,A,3,3.115086,-12.330403,1,False
9,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,A,4,0.27003905,-12.270794,1,False
10,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,A,5,3.9076428,-13.287589,1,False
11,0349-951c1418-40e9-48b3-8290-7ed4461f4d54,A,6,2.6754515,-13.493227,1,False
12,0413-e4a76b36-4367-4e30-abf9-93e823913630,A,1,3.481991,1.3653114,1,False
13,0413-e4a76b36-4367-4e30-abf9-93e823913630,A,2,-4.551343,-8.072761,1,False
14,0413-e4a76b36-4367-4e30-abf9-93e823913630,A,3,3.0017438,-21.238392,1,False
15,0413-e4a76b36-4367-4e30-abf9-93e823913630,A,4,3.770101,-22.738346,1,False
16,0413-e4a76b36-4367-4e30-abf9-93e823913630,A,5,3.917238,-22.706522,1,False
17,0413-e4a76b36-4367-4e30-abf9-93e823913630,A,6,3.0017443,-21.238392,1,False
18,0461-f522f8f4-37dc-4bb0-89bf-9f6bcf43274a,A,1,-5.6223745,-3.2696009,1,False
19,0461-f522f8f4-37dc-4bb0-89bf-9f6bcf43274a,A,2,-6.6311817,-3.7022252,1,False
20,0461-f522f8f4-37dc-4bb0-89bf-9f6bcf43274a,A,3,-6.6795964,-6.866581,1,False
21,0461-f522f8f4-37dc-4bb0-89bf-9f6bcf43274a,A,4,-6.0004983,-6.6337357,0,False
22,0461-f522f8f4-37dc-4bb0-89bf-9f6bcf43274a,A,5,-5.994103,-5.9478283,1,False
23,0461-f522f8f4-37dc-4bb0-89bf-9f6bcf43274a,A,6,-14.551852,-9.098205,1,False
24,0711-b03679d3-9904-4263-bd2f-8ec8e7a45af7,A,1,-19.665382,-7.0217347,0,False
25,0711-b03679d3-9904-4263-bd2f-8ec8e7a45af7,A,2,-19.587284,-6.830352,1,False
26,0711-b03679d3-9904-4263-bd2f-8ec8e7a45af7,A,3,-19.87793,-7.107833,1,False
27,0711-b03679d3-9904-4263-bd2f-8ec8e7a45af7,A,4,-20.865238,-5.7929544,1,False
28,0711-b03679d3-9904-4263-bd2f-8ec8e7a45af7,A,5,-20.865238,-5.7929544,1,False
29,0711-b03679d3-9904-4263-bd2f-8ec8e7a45af7,A,6,8.087835,-12.585899,1,False
30,0723-9b842133-a121-4b53-9c37-784e6023e022,A,1,-5.763112,1.5657333,1,False
31,0723-9b842133-a121-4b53-9c37-784e6023e022,A,2,-7.5017805,-13.042854,1,False
