,gameid,intendedName,repetitionNum,x_tsne,y_tsne,correct,is_nan
32,0723-9b842133-a121-4b53-9c37-784e6023e022,A,3,-27.554846,6.0305595,1,False
33,0723-9b842133-a121-4b53-9c37-784e6023e022,A,4,-27.68138,5.2316914,1,False
34,0723-9b842133-a121-4b53-9c37-784e6023e022,A,5,-28.010437,5.6946754,1,False
35,0723-9b842133-a121-4b53-9c37-784e6023e022,A,6,-27.225245,5.5589476,1,False
36,0785-68fedef2-3b2f-466f-a7c3-ab464e5811ca,A,1,1.6696126,-8.663868,1,False
37,0785-68fedef2-3b2f-466f-a7c3-ab464e5811ca,A,2,14.827681,-18.096127,0,False
38,0785-68fedef2-3b2f-466f-a7c3-ab464e5811ca,A,3,14.974436,-17.87059,1,False
39,0785-68fedef2-3b2f-466f-a7c3-ab464e5811ca,A,4,14.849346,-17.908066,1,False
40,0785-68fedef2-3b2f-466f-a7c3-ab464e5811ca,A,5,17.29319,-19.38639,1,False
41,0785-68fedef2-3b2f-466f-a7c3-ab464e5811ca,A,6,17.785618,-19.896267,1,False
42,1202-a64916b2-49d2-4ca4-bd76-cfd3e1ec3954,A,1,-22.056124,-14.547169,1,False
43,1202-a64916b2-49d2-4ca4-bd76-cfd3e1ec3954,A,2,-20.82246,-14.397169,1,False
44,1202-a64916b2-49d2-4ca4-bd76-cfd3e1ec3954,A,3,-21.048914,-14.979792,1,False
45,1202-a64916b2-49d2-4ca4-bd76-cfd3e1ec3954,A,4,-21.828722,-13.972647,1,False
46,1202-a64916b2-49d2-4ca4-bd76-cfd3e1ec3954,A,5,-21.660358,-15.019411,1,False
47,1202-a64916b2-49d2-4ca4-bd76-cfd3e1ec3954,A,6,-21.210114,-13.920597,1,False
48,1242-e6fcc1c9-ab33-44c7-b31c-4a391beb2b8c,A,1,3.6988432,9.404219,1,False
49,1242-e6fcc1c9-ab33-44c7-b31c-4a391beb2b8c,A,2,-3.9144244,10.084989,1,False
50,1242-e6fcc1c9-ab33-44c7-b31c-4a391beb2b8c,A,3,-33.506725,1.1837274,1,False
51,1242-e6fcc1c9-ab33-44c7-b31c-4a391beb2b8c,A,4,-32.789097,1.1760064,1,False
52,1242-e6fcc1c9-ab33-44c7-b31c-4a391beb2b8c,A,5,-33.155415,0.8222889,1,False
53,1242-e6fcc1c9-ab33-44c7-b31c-4a391beb2b8c,A,6,-33.14913,1.5413525,1,False
54,1526-db8d7e61-c668-4fe2-9119-cbf018ccb1c1,A,1,-10.851982,3.4718592,1,False
55,1526-db8d7e61-c668-4fe2-9119-cbf018ccb1c1,A,2,11.966841,0.027083592,1,False
56,1526-db8d7e61-c668-4fe2-9119-cbf018ccb1c1,A,3,12.102121,-1.1840563,1,False
57,1526-db8d7e61-c668-4fe2-9119-cbf018ccb1c1,A,4,13.794465,-1.3468986,1,False
58,1526-db8d7e61-c668-4fe2-9119-cbf018ccb1c1,A,5,11.591033,-0.98576266,1,False
59,1526-db8d7e61-c668-4fe2-9119-cbf018ccb1c1,A,6,12.102121,-1.1840563,1,False
60,1567-e80221b4-f349-4b3b-9921-224ee47eea1f,A,1,-15.198079,-1.1221792,1,False
61,1567-e80221b4-f349-4b3b-9921-224ee47eea1f,A,2,35.30499,0.84755695,1,False
62,1567-e80221b4-f349-4b3b-9921-224ee47eea1f,A,3,34.05909,0.18613704,1,False
63,1567-e80221b4-f349-4b3b-9921-224ee47eea1f,A,4,34.49663,0.85411066,1,False
64,1567-e80221b4-f349-4b3b-9921-224ee47eea1f,A,5,34.857315,0.17397483,1,False
65,1567-e80221b4-f349-4b3b-9921-224ee47eea1f,A,6,36.244812,-1.1873817,1,False
66,1598-17655913-31a4-4ca6-b86c-383db06bfde9,A,1,-3.7174344,-10.013134,1,False
67,1598-17655913-31a4-4ca6-b86c-383db06bfde9,A,2,-3.2133627,-9.703009,1,False
68,1598-17655913-31a4-4ca6-b86c-383db06bfde9,A,3,4.794543,-6.72139,1,False
69,1598-17655913-31a4-4ca6-b86c-383db06bfde9,A,4,24.406334,-4.2218313,1,False
70,1598-17655913-31a4-4ca6-b86c-383db06bfde9,A,5,24.28588,-4.2861896,1,False
71,1598-17655913-31a4-4ca6-b86c-383db06bfde9,A,6,24.406334,-4.2218313,1,False
72,1624-fe1e73c3-3feb-4949-8e71-31e9f955db53,A,1,-4.236302,7.349014,1,False
73,1624-fe1e73c3-3feb-4949-8e71-31e9f955db53,A,2,1.0485003,18.506662,1,False
74,1624-fe1e73c3-3feb-4949-8e71-31e9f955db53,A,3,2.8405447,11.804664,1,False
75,1624-fe1e73c3-3feb-4949-8e71-31e9f955db53,A,4,7.6209126,18.69428,1,False
76,1624-fe1e73c3-3feb-4949-8e71-31e9f955db53,A,5,7.3038464,19.082739,1,False
77,1624-fe1e73c3-3feb-4949-8e71-31e9f955db53,A,6,7.3038464,19.082739,1,False
78,1670-7a1fc24b-6599-4efb-8a98-22ce7368261a,A,1,17.279457,3.597114,1,False
79,1670-7a1fc24b-6599-4efb-8a98-22ce7368261a,A,2,18.33879,4.0931625,1,False
80,1670-7a1fc24b-6599-4efb-8a98-22ce7368261a,A,3,16.096457,3.9442248,1,False
81,1670-7a1fc24b-6599-4efb-8a98-22ce7368261a,A,4,18.832747,3.983921,1,False
82,1670-7a1fc24b-6599-4efb-8a98-22ce7368261a,A,5,18.498629,3.3781056,1,False
83,1670-7a1fc24b-6599-4efb-8a98-22ce7368261a,A,6,19.068785,3.4962552,1,False
84,1747-31c92e68-6900-4f75-b1d5-f0fe4ea823a3,A,1,-1.2102599,-4.2002554,1,False
85,1747-31c92e68-6900-4f75-b1d5-f0fe4ea823a3,A,2,8.357382,-3.2774584,1,False
86,1747-31c92e68-6900-4f75-b1d5-f0fe4ea823a3,A,3,8.334866,-3.3073103,1,False
87,1747-31c92e68-6900-4f75-b1d5-f0fe4ea823a3,A,4,32.070946,6.3601832,1,False
88,1747-31c92e68-6900-4f75-b1d5-f0fe4ea823a3,A,5,31.88116,6.44144,1,False
89,1747-31c92e68-6900-4f75-b1d5-f0fe4ea823a3,A,6,31.889269,6.234397,1,False
90,2223-ecc53ef3-7e9a-4776-b7c5-6811400d1a65,A,1,-0.88629323,-0.89056253,1,False
91,2223-ecc53ef3-7e9a-4776-b7c5-6811400d1a65,A,2,4.810536,-3.622336,1,False
92,2223-ecc53ef3-7e9a-4776-b7c5-6811400d1a65,A,3,5.492863,-3.1011608,1,False
93,2223-ecc53ef3-7e9a-4776-b7c5-6811400d1a65,A,4,19.446672,5.179319,1,False
94,2223-ecc53ef3-7e9a-4776-b7c5-6811400d1a65,A,5,18.857447,5.542276,1,False
95,2223-ecc53ef3-7e9a-4776-b7c5-6811400d1a65,A,6,19.791012,6.1750693,1,False
96,2403-abcbe4e3-634c-40ec-89f8-95a95baedff9,A,1,-2.6997583,11.844165,1,False
97,2403-abcbe4e3-634c-40ec-89f8-95a95baedff9,A,2,-7.197316,14.881773,1,False
98,2403-abcbe4e3-634c-40ec-89f8-95a95baedff9,A,3,-8.186362,14.712981,1,False
99,2403-abcbe4e3-634c-40ec-89f8-95a95baedff9,A,4,-7.6260138,14.4429865,1,False
100,2403-abcbe4e3-634c-40ec-89f8-95a95baedff9,A,5,-8.109467,15.336508,1,False
101,2403-abcbe4e3-634c-40ec-89f8-95a95baedff9,A,6,-7.499485,15.435384,1,False
102,2535-a47c997d-4aac-43f5-adad-6d8e492ba2eb,A,1,-10.35877,6.2800636,1,False
103,2535-a47c997d-4aac-43f5-adad-6d8e492ba2eb,A,2,18.407234,9.250703,0,False
104,2535-a47c997d-4aac-43f5-adad-6d8e492ba2eb,A,3,-2.677534,-16.067839,1,False
105,2535-a47c997d-4aac-43f5-adad-6d8e492ba2eb,A,4,19.758652,-0.70402676,1,False
106,2535-a47c997d-4aac-43f5-adad-6d8e492ba2eb,A,5,19.758652,-0.7040268,1,False
107,2535-a47c997d-4aac-43f5-adad-6d8e492ba2eb,A,6,22.619427,1.7652539,1,False
108,3296-212e4ca6-9ec7-4e38-bacf-a739c9812e48,A,1,-5.0554237,-25.382864,1,False
109,3296-212e4ca6-9ec7-4e38-bacf-a739c9812e48,A,2,-6.0414815,-27.02423,1,False
110,3296-212e4ca6-9ec7-4e38-bacf-a739c9812e48,A,3,-6.201247,-27.49628,1,False
111,3296-212e4ca6-9ec7-4e38-bacf-a739c9812e48,A,4,-5.703735,-27.67357,1,False
112,3296-212e4ca6-9ec7-4e38-bacf-a739c9812e48,A,5,-5.5320096,-27.210613,1,False
113,3296-212e4ca6-9ec7-4e38-bacf-a739c9812e48,A,6,-6.7625666,-18.984201,1,False
114,3321-5540179d-7955-4363-b9d2-e392f26a1256,A,1,15.059115,19.185575,1,False
115,3321-5540179d-7955-4363-b9d2-e392f26a1256,A,2,13.875299,18.873007,1,False
116,3321-5540179d-7955-4363-b9d2-e392f26a1256,A,3,17.613731,21.852648,1,False
117,3321-5540179d-7955-4363-b9d2-e392f26a1256,A,4,17.441597,22.312677,1,False
118,3321-5540179d-7955-4363-b9d2-e392f26a1256,A,5,17.04018,20.859592,0,False
119,3321-5540179d-7955-4363-b9d2-e392f26a1256,A,6,16.474657,19.821352,0,False
120,3419-7061f84e-30ba-48dc-9bc3-133c5fdf8fa3,A,1,0.25345966,-3.1934996,1,False
121,3419-7061f84e-30ba-48dc-9bc3-133c5fdf8fa3,A,2,1.2415192,-3.7399979,1,False
122,3419-7061f84e-30ba-48dc-9bc3-133c5fdf8fa3,A,3,1.3393118,-4.0433617,1,False
123,3419-7061f84e-30ba-48dc-9bc3-133c5fdf8fa3,A,4,-0.26446885,-19.73024,1,False
124,3419-7061f84e-30ba-48dc-9bc3-133c5fdf8fa3,A,5,-0.18033731,-19.485527,1,False
125,3419-7061f84e-30ba-48dc-9bc3-133c5fdf8fa3,A,6,-0.42027742,-19.494873,1,False
126,3617-9ac86786-87e4-468d-bbd9-ffdb2a55bf4e,A,1,-13.526546,2.6273196,1,False
127,3617-9ac86786-87e4-468d-bbd9-ffdb2a55bf4e,A,2,-14.147032,2.4409711,1,False
128,3617-9ac86786-87e4-468d-bbd9-ffdb2a55bf4e,A,3,6.0925803,5.8450465,1,False
129,3617-9ac86786-87e4-468d-bbd9-ffdb2a55bf4e,A,4,5.879721,5.181445,1,False
130,3617-9ac86786-87e4-468d-bbd9-ffdb2a55bf4e,A,5,6.3124123,5.414995,1,False
131,3617-9ac86786-87e4-468d-bbd9-ffdb2a55bf4e,A,6,5.6512423,5.6133924,1,False
132,3752-a8b52b62-f711-4601-a8cc-a8afddd35560,A,1,-1.3157604,-6.2981377,0,False
133,3752-a8b52b62-f711-4601-a8cc-a8afddd35560,A,2,0.8364397,-12.828779,0,False
134,3752-a8b52b62-f711-4601-a8cc-a8afddd35560,A,3,3.3483677,-13.634435,1,False
135,3752-a8b52b62-f711-4601-a8cc-a8afddd35560,A,4,1.0435284,-12.188342,1,False
136,3752-a8b52b62-f711-4601-a8cc-a8afddd35560,A,5,3.7580507,-12.610487,0,False
137,3752-a8b52b62-f711-4601-a8cc-a8afddd35560,A,6,2.7434256,-12.850223,0,False
138,4011-501727ae-d5dc-405f-8450-3cca55fc99e7,A,1,-8.019217,4.828917,0,False
139,4011-501727ae-d5dc-405f-8450-3cca55fc99e7,A,2,-9.588756,4.400049,1,False
140,4011-501727ae-d5dc-405f-8450-3cca55fc99e7,A,3,-18.8791,-10.214462,1,False
141,4011-501727ae-d5dc-405f-8450-3cca55fc99e7,A,4,8.16924,-8.350037,1,False
142,4011-501727ae-d5dc-405f-8450-3cca55fc99e7,A,5,8.16924,-8.350037,1,False
143,4011-501727ae-d5dc-405f-8450-3cca55fc99e7,A,6,8.119897,-8.547747,1,False
144,4045-c97cdcce-7538-408d-b8dd-5de0f2de8574,A,1,-1.9754654,6.61176,1,False
145,4045-c97cdcce-7538-408d-b8dd-5de0f2de8574,A,2,-1.9795424,5.7715297,1,False
146,4045-c97cdcce-7538-408d-b8dd-5de0f2de8574,A,3,12.807347,-18.394547,1,False
147,4045-c97cdcce-7538-408d-b8dd-5de0f2de8574,A,4,16.405754,-20.299282,1,False
148,4045-c97cdcce-7538-408d-b8dd-5de0f2de8574,A,5,16.734253,-19.729212,1,False
149,4045-c97cdcce-7538-408d-b8dd-5de0f2de8574,A,6,16.939367,-20.766413,1,False
150,4076-4cf65365-3773-4e94-abc7-06f8f15081f3,A,1,-6.8427405,9.404612,0,False
151,4076-4cf65365-3773-4e94-abc7-06f8f15081f3,A,2,6.275168,25.378714,1,False
152,4076-4cf65365-3773-4e94-abc7-06f8f15081f3,A,3,6.9864564,27.865114,1,False
153,4076-4cf65365-3773-4e94-abc7-06f8f15081f3,A,4,6.8424997,26.817623,1,False
154,4076-4cf65365-3773-4e94-abc7-06f8f15081f3,A,5,7.3812156,27.721167,1,False
155,4076-4cf65365-3773-4e94-abc7-06f8f15081f3,A,6,7.3812156,27.721167,1,False
156,4090-bf4b8726-1596-4231-84d9-718a2a37eee3,A,1,-0.48643455,8.655115,1,False
157,4090-bf4b8726-1596-4231-84d9-718a2a37eee3,A,2,8.493806,13.892636,1,False
158,4090-bf4b8726-1596-4231-84d9-718a2a37eee3,A,3,8.008847,13.492259,1,False
159,4090-bf4b8726-1596-4231-84d9-718a2a37eee3,A,4,7.553959,13.893505,1,False
160,4090-bf4b8726-1596-4231-84d9-718a2a37eee3,A,5,7.7889643,14.477695,1,False
161,4090-bf4b8726-1596-4231-84d9-718a2a37eee3,A,6,8.411723,14.491959,1,False
162,4369-cd2d1d26-3bf9-4e54-a79a-2aacea53b331,A,1,-11.381312,1.6194195,1,False
163,4369-cd2d1d26-3bf9-4e54-a79a-2aacea53b331,A,2,-8.68763,0.6962823,1,False
164,4369-cd2d1d26-3bf9-4e54-a79a-2aacea53b331,A,3,-9.72889,-0.07070293,1,False
165,4369-cd2d1d26-3bf9-4e54-a79a-2aacea53b331,A,4,-10.036638,0.35117862,1,False
166,4369-cd2d1d26-3bf9-4e54-a79a-2aacea53b331,A,5,-9.6293955,0.6091423,1,False
167,4369-cd2d1d26-3bf9-4e54-a79a-2aacea53b331,A,6,-9.298893,0.017142488,1,False
168,4505-8cf1d946-db8a-413a-93bd-97bb5ba3fda6,A,1,-4.5387645,-21.33373,0,False
169,4505-8cf1d946-db8a-413a-93bd-97bb5ba3fda6,A,2,-6.969851,-15.531499,1,False
170,4505-8cf1d946-db8a-413a-93bd-97bb5ba3fda6,A,3,-7.5518885,-21.275688,1,False
171,4505-8cf1d946-db8a-413a-93bd-97bb5ba3fda6,A,4,-7.6082315,-21.817364,1,False
172,4505-8cf1d946-db8a-413a-93bd-97bb5ba3fda6,A,5,-8.138129,-21.700417,1,False
173,4505-8cf1d946-db8a-413a-93bd-97bb5ba3fda6,A,6,-8.074967,-21.141838,1,False
174,4513-c541e940-73fd-46b6-b19c-221458a22970,A,1,1.3697058,7.3512363,1,False
175,4513-c541e940-73fd-46b6-b19c-221458a22970,A,2,1.9009035,20.923935,1,False
176,4513-c541e940-73fd-46b6-b19c-221458a22970,A,3,0.894842,20.76345,1,False
177,4513-c541e940-73fd-46b6-b19c-221458a22970,A,4,1.5993177,21.462662,1,False
178,4513-c541e940-73fd-46b6-b19c-221458a22970,A,5,0.99273276,21.361626,1,False
179,4513-c541e940-73fd-46b6-b19c-221458a22970,A,6,1.4587309,20.524931,1,False
180,4676-a65ba686-b220-4f71-91d6-0fbf1138e726,A,1,-3.9103694,-13.41455,1,False
181,4676-a65ba686-b220-4f71-91d6-0fbf1138e726,A,2,-4.3894315,-13.822609,0,False
182,4676-a65ba686-b220-4f71-91d6-0fbf1138e726,A,3,-3.2926836,-12.081354,0,False
183,4676-a65ba686-b220-4f71-91d6-0fbf1138e726,A,4,-3.707866,-14.541393,1,False
184,4676-a65ba686-b220-4f71-91d6-0fbf1138e726,A,5,-4.2236767,-15.551293,1,False
185,4676-a65ba686-b220-4f71-91d6-0fbf1138e726,A,6,-5.8171463,-16.412481,1,False
186,4729-d4a13957-3f36-496d-8eea-8c528e25740e,A,1,-15.579729,7.804881,1,False
187,4729-d4a13957-3f36-496d-8eea-8c528e25740e,A,2,-16.118174,8.40764,1,False
188,4729-d4a13957-3f36-496d-8eea-8c528e25740e,A,3,-16.604471,8.715564,1,False
189,4729-d4a13957-3f36-496d-8eea-8c528e25740e,A,4,-16.940382,7.690572,1,False
190,4729-d4a13957-3f36-496d-8eea-8c528e25740e,A,5,-17.149166,8.3183975,1,False
191,4729-d4a13957-3f36-496d-8eea-8c528e25740e,A,6,-16.381763,7.5552044,1,False
192,4803-a27d2cc6-e504-4f67-8216-22679d81b1a6,A,1,-2.85778,-0.88866895,1,False
193,4803-a27d2cc6-e504-4f67-8216-22679d81b1a6,A,2,13.8752985,18.873009,1,False
194,4803-a27d2cc6-e504-4f67-8216-22679d81b1a6,A,3,20.788258,21.79329,1,False
195,4803-a27d2cc6-e504-4f67-8216-22679d81b1a6,A,4,20.28597,21.851486,1,False
196,4803-a27d2cc6-e504-4f67-8216-22679d81b1a6,A,5,20.230673,21.299442,1,False
197,4803-a27d2cc6-e504-4f67-8216-22679d81b1a6,A,6,20.734247,21.252913,1,False
198,4824-58d5c545-a718-4653-89db-4be922da59d7,A,1,-2.5350676,11.469103,0,False
199,4824-58d5c545-a718-4653-89db-4be922da59d7,A,2,-4.0140243,12.502822,1,False
200,4824-58d5c545-a718-4653-89db-4be922da59d7,A,3,3.2878969,2.0652103,1,False
201,4824-58d5c545-a718-4653-89db-4be922da59d7,A,4,24.954416,11.315596,1,False
202,4824-58d5c545-a718-4653-89db-4be922da59d7,A,5,29.57592,-14.160192,1,False
203,4824-58d5c545-a718-4653-89db-4be922da59d7,A,6,28.231512,-14.505994,1,False
204,4843-98b6ce35-ee60-474f-8281-9a944213f01e,A,1,-7.4919806,10.173233,0,False
205,4843-98b6ce35-ee60-474f-8281-9a944213f01e,A,2,-12.382928,-10.4050045,1,False
206,4843-98b6ce35-ee60-474f-8281-9a944213f01e,A,3,-10.8727045,-10.367498,1,False
207,4843-98b6ce35-ee60-474f-8281-9a944213f01e,A,4,-11.434642,-10.1082325,1,False
208,4843-98b6ce35-ee60-474f-8281-9a944213f01e,A,5,-11.4346285,-10.108457,1,False
209,4843-98b6ce35-ee60-474f-8281-9a944213f01e,A,6,-12.02905,-8.419168,1,False
210,4853-e6b0e457-f035-428e-be9a-9191a3a4a222,A,1,-1.5112475,0.35546237,0,False
211,4853-e6b0e457-f035-428e-be9a-9191a3a4a222,A,2,-10.60232,-15.705778,1,False
212,4853-e6b0e457-f035-428e-be9a-9191a3a4a222,A,3,-11.856757,-19.061731,1,False
213,4853-e6b0e457-f035-428e-be9a-9191a3a4a222,A,4,-24.806221,-17.742083,1,False
214,4853-e6b0e457-f035-428e-be9a-9191a3a4a222,A,5,-23.95457,-17.769796,1,False
215,4853-e6b0e457-f035-428e-be9a-9191a3a4a222,A,6,-24.37892,-18.180586,1,False
216,5032-f97819b4-cbef-4293-9d27-81134172edac,A,1,5.627215,9.488798,1,False
217,5032-f97819b4-cbef-4293-9d27-81134172edac,A,2,4.5074496,17.416294,0,False
218,5032-f97819b4-cbef-4293-9d27-81134172edac,A,3,2.9132836,-3.8260076,0,False
219,5032-f97819b4-cbef-4293-9d27-81134172edac,A,4,1.0101461,14.079952,1,False
220,5032-f97819b4-cbef-4293-9d27-81134172edac,A,5,1.1805769,14.881658,1,False
221,5032-f97819b4-cbef-4293-9d27-81134172edac,A,6,1.1805769,14.881658,1,False
222,5100-ae37a906-ac5a-4cf2-b89a-aeb68b66e2b2,A,1,-1.773709,13.238023,1,False
223,5100-ae37a906-ac5a-4cf2-b89a-aeb68b66e2b2,A,2,-2.3915386,14.48279,1,False
224,5100-ae37a906-ac5a-4cf2-b89a-aeb68b66e2b2,A,3,-3.3379982,17.387688,1,False
225,5100-ae37a906-ac5a-4cf2-b89a-aeb68b66e2b2,A,4,-2.9978774,16.966476,1,False
226,5100-ae37a906-ac5a-4cf2-b89a-aeb68b66e2b2,A,5,-3.4359865,16.631699,1,False
227,5100-ae37a906-ac5a-4cf2-b89a-aeb68b66e2b2,A,6,-3.770691,17.05981,1,False
228,5108-ab2d0b72-034a-4f00-991a-416faf93c98c,A,1,-8.633463,2.8559701,1,False
229,5108-ab2d0b72-034a-4f00-991a-416faf93c98c,A,2,-6.273273,6.590541,1,False
230,5108-ab2d0b72-034a-4f00-991a-416faf93c98c,A,3,-12.946736,-16.633192,1,False
231,5108-ab2d0b72-034a-4f00-991a-416faf93c98c,A,4,-12.066463,-17.687105,1,False
232,5108-ab2d0b72-034a-4f00-991a-416faf93c98c,A,5,-13.260613,-20.039808,1,False
233,5108-ab2d0b72-034a-4f00-991a-416faf93c98c,A,6,-24.388279,-17.331944,1,False
234,5154-e7f636b5-f787-4bef-be2b-83083fd48c28,A,1,2.9442182,-19.086401,0,False
235,5154-e7f636b5-f787-4bef-be2b-83083fd48c28,A,2,-0.39249375,-24.587915,1,False
236,5154-e7f636b5-f787-4bef-be2b-83083fd48c28,A,3,-0.30262378,-26.50307,1,False
237,5154-e7f636b5-f787-4bef-be2b-83083fd48c28,A,4,-0.2911832,-27.476233,1,False
238,5154-e7f636b5-f787-4bef-be2b-83083fd48c28,A,5,-0.2911832,-27.476233,1,False
239,5154-e7f636b5-f787-4bef-be2b-83083fd48c28,A,6,-0.2911832,-27.476233,1,False
240,5192-8023d95b-29c5-49aa-a245-42924607dd4b,A,1,-11.798856,6.678044,0,False
241,5192-8023d95b-29c5-49aa-a245-42924607dd4b,A,2,-13.639516,5.474016,1,False
242,5192-8023d95b-29c5-49aa-a245-42924607dd4b,A,3,-12.550069,-25.02039,1,False
243,5192-8023d95b-29c5-49aa-a245-42924607dd4b,A,4,-12.252002,-24.45855,1,False
244,5192-8023d95b-29c5-49aa-a245-42924607dd4b,A,5,-13.213288,-24.74689,1,False
245,5192-8023d95b-29c5-49aa-a245-42924607dd4b,A,6,-12.973277,-24.200169,1,False
246,5315-f238c198-20c0-4162-932c-76cb0ad9e5b8,A,1,1.06004,-2.0335677,1,False
247,5315-f238c198-20c0-4162-932c-76cb0ad9e5b8,A,2,0.9929155,3.9408963,1,False
248,5315-f238c198-20c0-4162-932c-76cb0ad9e5b8,A,3,0.99225456,3.9417713,1,False
249,5315-f238c198-20c0-4162-932c-76cb0ad9e5b8,A,4,-0.25732583,3.1344993,1,False
250,5315-f238c198-20c0-4162-932c-76cb0ad9e5b8,A,5,-0.32983306,2.8429272,0,False
251,5315-f238c198-20c0-4162-932c-76cb0ad9e5b8,A,6,0.49050862,4.200487,0,False
252,5693-668d2b0f-d15b-4769-acdf-8017caffe1e5,A,1,3.264321,-17.793188,1,False
253,5693-668d2b0f-d15b-4769-acdf-8017caffe1e5,A,2,4.6910453,-20.587986,1,False
254,5693-668d2b0f-d15b-4769-acdf-8017caffe1e5,A,3,3.8045573,-18.600637,1,False
255,5693-668d2b0f-d15b-4769-acdf-8017caffe1e5,A,4,4.3675585,-19.424013,1,False
256,5693-668d2b0f-d15b-4769-acdf-8017caffe1e5,A,5,4.003031,-19.608105,1,False
257,5693-668d2b0f-d15b-4769-acdf-8017caffe1e5,A,6,4.6910453,-20.587986,1,False
258,5774-0e16513f-9938-4b1e-a647-86933d7ef911,A,1,-1.0269479,0.3663033,1,False
259,5774-0e16513f-9938-4b1e-a647-86933d7ef911,A,2,7.7285514,0.33862087,1,False
260,5774-0e16513f-9938-4b1e-a647-86933d7ef911,A,3,-19.11769,16.857136,1,False
261,5774-0e16513f-9938-4b1e-a647-86933d7ef911,A,4,15.816205,-13.7952795,1,False
262,5774-0e16513f-9938-4b1e-a647-86933d7ef911,A,5,15.816205,-13.7952795,1,False
263,5774-0e16513f-9938-4b1e-a647-86933d7ef911,A,6,15.816205,-13.7952795,1,False
264,5792-f5aa5cf6-b3d0-4444-8442-4ef42e3b7c08,A,1,-10.2550745,2.1917064,1,False
265,5792-f5aa5cf6-b3d0-4444-8442-4ef42e3b7c08,A,2,-11.9079,-2.8712435,1,False
266,5792-f5aa5cf6-b3d0-4444-8442-4ef42e3b7c08,A,3,-11.66157,-2.6908326,1,False
267,5792-f5aa5cf6-b3d0-4444-8442-4ef42e3b7c08,A,4,-2.7487347,20.921234,1,False
268,5792-f5aa5cf6-b3d0-4444-8442-4ef42e3b7c08,A,5,-3.1492102,22.426731,1,False
