gameid,time,roundNum,sender,contents,tangram
0215-4,1438804111703,1,matcher,"so what's your number one",0
0215-4,1438804126194,1,director,"Hi. the guy with his arms spread out",C
0215-4,1438804138187,1,matcher,"2",0
0215-4,1438804154725,1,director,"The guy with a triangle pointing at his neck",B
0215-4,1438804154881,1,matcher,"is the first one sitting or standing",C
0215-4,1438804163077,1,director,"first one is standing",C
0215-4,1438804185357,1,matcher,"ok 3",0
0215-4,1438804189858,1,director,"the second one the front of his face is pointing left",B
0215-4,1438804231468,1,director,"number 3: he's facing left, looks like he's holding a dish with both hands wearing a robe",D
0215-4,1438804251095,1,matcher,"ok 4",0
0215-4,1438804277590,1,director,"number 4: like his feet are on the left side, doing a pushup maybe",G
0215-4,1438804302464,1,director,"number 4: also, a square is balanced on his neck, left side.",G
0215-4,1438804334201,1,director,"5: his head shaped like a diamond, has no arms at all",H
0215-4,1438804344239,1,matcher,"ok what is 5",0
0215-4,1438804351149,1,matcher,"oops nvm",0
0215-4,1438804368968,1,matcher,"ok 6",0
0215-4,1438804389198,1,director,"6: he could be sitting against a wall, facing left",F
0215-4,1438804395559,1,matcher,"ok 7",0
0215-4,1438804423965,1,director,"7: right side of his neck, his 'face is falling off'",A
0215-4,1438804437267,1,matcher,"ok 8",0
0215-4,1438804453276,1,director,"8: he's facing right, knees bent, holding something with both arms.",L
0215-4,1438804470018,1,matcher,"ok 9",0
0215-4,1438804488870,1,director,"9: he's facing left, right leg in the air, resting on his left leg/foot",I
0215-4,1438804503553,1,matcher,"ok 10",0
0215-4,1438804531879,1,director,"10: his head is shaped like a diamond, no neck at all, just a flat surface",J
0215-4,1438804538715,1,matcher,"ok 11",0
0215-4,1438804568938,1,director,"11: his head is a block, facing right side, sitting against a wall, two triangles resting on his head",E
0215-4,1438804596061,1,matcher,"is 12 a dude praying like",K
0215-4,1438804619286,1,director,"12: yes, his head is a diamond, kneeling down, facing the right side",K
0215-4,1438804626680,1,matcher,"ok submitting",0
0215-4,1438804630193,1,director,"thanks",0
