gameid,msgTime,trialNum,repetitionNum,role,intendedName,timeElapsed,contents
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393536796,13,2,director,C,8032,"facing left arms out, flying like superman"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393558019,13,2,director,C,953,or a bird
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393560164,13,2,matcher,C,4409,diagonal body?
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393593215,14,2,director,K,17888,begging facing left heels up no hood (head is up)
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393642058,15,2,director,A,12846,"looks like a bird, facing left legs kicking up"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393647773,15,2,director,A,2072,head way back
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393668496,16,2,matcher,F,5232,that ones wig is peeled back
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393673361,16,2,director,F,10048,slouched in the corner facing right
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393685692,16,2,director,F,9775,oh that's what it is? it's like some weird monster monk
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393694713,16,2,matcher,F,4554,split hat?
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393705721,16,2,director,F,2536,no facing left sorry
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393708919,16,2,director,F,2904,i mean right corner facing left
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393733217,17,2,director,L,15919,"facing right (i am sure this time), sort of bent knees arms outstretched"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393753610,18,2,director,G,2221,the one you just picked
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393756122,18,2,matcher,G,5910,we can call that one the beggar
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393760275,18,2,director,G,1566,beggar
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393766539,18,2,matcher,G,2903,kneeling beggar?
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393780462,18,2,director,G,7614,you mean the one you were uspposed to pick or did pick?
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393785956,18,2,matcher,G,1155,did
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393794232,18,2,director,G,13519,"sure, do the kneeling beggar"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393799697,18,2,director,G,2984,the choice you made last time
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393855397,19,2,director,H,14119,"this one is sort of sitting, his legs are facing right and his arms are at his sides"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393878543,19,2,matcher,H,1887,split hat?
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393890924,19,2,director,H,6463,no one hat (single diamond thing)
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393918383,20,2,matcher,I,2926,that ones like a blob
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393946681,20,2,director,I,23879,"yeah you are right. this one is facing right, it looks like both his arms are out and one leg is kicked back"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393955824,20,2,director,I,6176,"and he is standing on the other leg, kind of like a flamingo"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393960100,20,2,director,I,1392,or a fountain
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393989067,20,2,matcher,I,4279,facing left or right?
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394021791,21,2,director,E,17936,"sitting down with his back to the left side, facing right (split hat) sad bunny"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394037647,22,2,matcher,D,1881,split hat works
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394055980,22,2,director,D,12764,"solid hat facing right, his arms out begging"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394078975,22,2,matcher,D,7208,kneeling or crouching?
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394091535,22,2,director,D,7040,sorry facing left
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394109377,23,2,director,J,7007,this time he is facing right
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394118466,23,2,director,J,7248,"you can't make out his legs, he looks kind of squat"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394137128,23,2,matcher,J,1963,begging?
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394153195,23,2,director,J,7543,more just looking like a candle
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394173756,24,2,matcher,B,874,the blob
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394198161,24,2,director,B,18767,"there are two blobs. this one has the feet on the left and the hands on the right, begging, split hat but his hood is facing out"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394243756,25,3,director,J,3881,the last blob we talked about
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394279449,26,3,director,B,12710,"this was the last praying/begging guy. head down facing the left, hands up, hood back"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394338501,27,3,director,G,8416,"this one he is facing right"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394349719,27,3,director,G,8648,"really right, his head is up facing the sky, his arm is out"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394380280,28,3,director,E,14334,"facing the right, back is against the left side, split hat/sad bunny"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394409539,29,3,director,L,8806,"facing the right, begging but standing"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394446131,30,3,director,A,20671,"facing the left, kicking one foot up head back"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394452347,30,3,director,A,3031,back straight
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394487492,31,3,director,H,9616,blob with the sort of leg on the right side
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394510359,32,3,director,K,4448,begging on his knees facing right
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394531029,33,3,director,F,11007,"back against the right side, facing left slouched"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394554035,34,3,director,C,7151,diagnol body arms stretched out
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394572376,35,3,matcher,D,2239,superman!
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394582260,35,3,director,D,14738,"facing the left, begging"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394602661,36,3,director,I,9110,"leaning forward on one leg facing left, like a lawn flamingo"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394619527,37,4,director,E,1743,sad bunny
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394636210,37,4,matcher,E,5279,sitting or kicking the stone?
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394646287,37,4,director,E,4256,sitting and facing left
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394656286,38,4,director,A,4657,right
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394658914,38,4,matcher,A,1377,split hat
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394669200,38,4,director,A,9272,this is the one where he is facing left and kicking a can or stone
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394685723,39,4,director,H,5600,blob with the little thing on the right
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394696152,40,4,director,C,1910,superman
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394726086,41,4,director,B,18344,"facing left, praying, his head is down, and his hands are up, you can see his feet on the left"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394752714,41,4,matcher,B,2419,facing right
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394754645,41,4,matcher,B,198,?
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394757977,41,4,director,B,2336,"facing right, sorry"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394775419,42,4,director,G,7824,this was like the last one but he is looking up to the right corner
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394807938,43,4,director,L,13351,"begging, facing the right (yes the right) standing but bent kneed)"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394821669,44,4,director,I,1458,lawn flamingo
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394822555,44,4,matcher,I,6139,the crouching beggar!
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394847950,45,4,director,J,13134,blob with the weird little arm. it's like a diamond on a flat line
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394876888,46,4,director,K,18031,crouching beggar knees on the ground (facing right)
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394911687,47,4,director,F,12048,"facing left, slouched against the right side"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394914822,47,4,director,F,1791,like sitting down
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394928172,48,4,matcher,D,1543,john cruer
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394929915,48,4,matcher,D,566,cryer
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394947835,48,4,director,D,4990,begging facing the left
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394973210,49,5,director,C,961,superman
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490394991961,50,5,director,D,5936,facing left begging like the last beggar
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395022951,51,5,director,J,13743,one of the blobs (the one with the arm kinda)
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395046879,52,5,director,L,6576,"facing right, begging standing"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395065165,53,5,director,H,2543,blob with the legs
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395095634,54,5,director,G,7993,this one is begging with his head up facing the corner
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395130375,55,5,director,B,5776,"begging on his knees, facing right, head down"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395155394,56,5,director,I,960,flamingo
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395182385,57,5,director,A,9928,this one is the one where he is sort of kicking the can
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395209008,58,5,director,K,9808,"facing right and begging, his knees are on the ground but his body is straight"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395224267,59,5,director,E,936,split hat
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395278054,60,5,director,F,18567,"facing the left, slouched down leaning/sitting against the right side"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395305488,61,6,director,H,5512,blob with the leg facing right
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395325909,62,6,director,C,7825,superman
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395350650,62,6,director,C,1488,superman
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395373056,63,6,director,B,10737,praying. facing right head down
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395423394,64,6,director,G,17766,head up facing right looking up with his hands out stetched (you can see one of his feet)
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395539964,65,6,director,L,6959,"begging facing right, standing up"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395562396,66,6,director,E,952,split hat
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395579933,67,6,director,J,5366,blob (the one with the arm not the foot)
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395614141,68,6,director,F,7912,the sitting on the right
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395615074,68,6,matcher,F,5242,just letting you know
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395617575,68,6,director,F,2833,looking left slouching
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395630808,69,6,director,I,936,flamingo
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395644916,70,6,director,K,4136,begger facing right on his knees
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395655546,71,6,director,A,7800,kicking the can
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395659318,71,6,director,A,1776,or stone
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490395672686,72,6,director,D,2751,begging facing the left
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374576714,1,1,director,B,11538,this one kinda looks like they are looking a little down and kneeling with both arms out
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374582838,1,1,director,B,4642,wearing a dress maybe.
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374595750,2,1,director,F,5062,this one is sitting down
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374598659,2,1,director,F,2478,with his knees up
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374614016,3,1,director,C,4924,this one looks like a ghost almost
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374618559,3,1,director,C,2471,with his arms raised up
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374631975,4,1,director,I,7680,this one looks like he is balancing on one leg with his arms out
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374654711,5,1,director,G,13007,this one looks like a woman in a dress who is throwing her head back
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374657767,5,1,director,G,2768,and walking with her hand up
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374677767,6,1,director,D,8370,this one looks like a preacher holding a book and standing straight
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374691919,7,1,director,E,3256,this one has bunny ears
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374707322,8,1,director,L,7089,this one looks like the preacher except he is bending his knees
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374719895,8,1,matcher,L,3967,bending them back?
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374729434,8,1,matcher,L,2663,bending or kneeling
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374731611,8,1,director,L,3990,hmm he is facing right
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374734618,8,1,director,L,2202,bending not kneeling
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374752449,9,1,director,A,9994,this one looks like a man with a block on his back
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374757336,9,1,director,A,4528,maybe he is wearing a hazmat suit
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374774168,10,1,director,J,10735,this one kinda looks like a smaller kid whos a little overweight
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374790562,10,1,matcher,J,2792,right arm out?
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374791446,10,1,director,J,5607,his chest has a pointy part
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374810702,11,1,director,K,11123,this one looks like a person kneeling with their hand out and has a hood
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374830995,11,1,matcher,K,600,?
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374837779,11,1,matcher,K,3279,kneeling preacher?
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374849784,11,1,director,K,495,hmm
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374857060,11,1,director,K,6958,yes looks like the bent knee preacher
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374859249,11,1,director,K,1848,except kneeling
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374874950,12,1,director,H,7422,looks like the small kid but no pointy chest
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374895148,13,2,director,G,12016,woman with arm and leg forward in a dress with head back.
7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,1490374913592,13,2,matcher,G,3751,sitting on ground?
