gameid,msgTime,trialNum,repetitionNum,role,intendedName,timeElapsed,contents
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490646593792,1,1,director,K,9660,the one that is standing
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490646617728,1,1,matcher,K,3337,i see a couple standing.
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490646638056,1,1,director,K,6003,with an opening on each side
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490646688270,2,1,director,J,6856,the fattest one
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490646706283,3,1,director,G,4111,the one shaped like a star
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490646749820,4,1,director,C,4422,the one that looks like it is flying
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490646764220,5,1,director,B,4733,the one where the top looks like a toilet
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490646775596,5,1,director,B,3093,and has a triangle behind it
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490646806634,6,1,director,A,16416,the one one with that looks like it is looking down and kicking
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490646829170,7,1,director,H,3212,the fat one
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490646859412,8,1,director,D,14638,the one tht looks like the statue of liberty
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490646892406,9,1,director,F,12085,the one that ilooks like it is sitting down and facing the left
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490646909726,10,1,director,E,8200,the one that looks like it is sitting down and looking towards the right
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490646938422,11,1,director,I,10935,the one that looks like a bird eating
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490646980732,12,1,director,L,14331,the one that looks like a zig zag
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490646996023,12,1,director,L,4839,with the square on the very top
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647022434,13,2,director,F,13223,the one sitting down looking towards the left and has a square on the very top
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647047026,14,2,director,G,13034,the one that looks like a shoe
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647068601,15,2,director,H,5954,the fat one with a square on top
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647083859,16,2,director,E,1865,bunny ears
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647102015,17,2,director,K,7139,the one with a wide opening on the right side
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647139715,18,2,director,I,20229,the one with looks like a mouth on the left side
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647162143,19,2,director,C,1616,the flying one
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647177427,20,2,director,L,7729,the zizag with square on top
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647195091,21,2,director,A,8568,man looking down kicking a stone
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647225232,22,2,director,J,10251,square on top and plain shape on bottom
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647246778,23,2,director,D,4183,statue of liberty
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647263336,24,2,director,B,6736,toilet with triangle behind
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647301132,25,3,director,K,10288,double mouth one
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647317264,26,3,director,D,1984,statue of liberty
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647334066,27,3,director,J,5255,square on top plain shape on bottom
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647343730,28,3,director,A,1317,man kicking
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647356667,29,3,director,I,3722,bird eating
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647367146,30,3,director,E,1511,bunny ears
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647377238,31,3,director,C,838,flying
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647387864,32,3,director,H,3053,fat one with square on top
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647399967,33,3,director,B,4388,toilet with triangle behind
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647413187,34,3,director,G,2755,shoe
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647425762,35,3,director,L,2530,double opening
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647455438,36,3,director,F,12094,man sitting looking down
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647471854,37,4,director,F,3370,man sitting looking down
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647493974,38,4,director,K,11042,square on top opening on each side
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647512305,39,4,director,L,5040,zig zag with square on top
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647524477,40,4,director,E,1219,bunny ears
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647545634,41,4,director,C,783,flying
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647560903,42,4,director,A,2475,man standing kicking
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647574124,43,4,director,J,5216,square on top plain shape on bottom
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647584993,44,4,director,I,1487,bird eating
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647599410,45,4,director,H,4848,square on top fat shape on bottom
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647608609,46,4,director,G,540,shoe
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647621977,47,4,director,D,2627,statue of liberty
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647631382,48,4,director,B,758,toilet
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647641873,49,5,director,B,691,toilet
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647650135,50,5,director,G,547,shoe
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647659241,51,5,director,E,2134,bunny ears
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647671759,52,5,director,K,4924,square on top double opening on sides
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647688891,53,5,director,L,5268,square on top zig zag on bottom
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647706665,54,5,director,F,8404,man sitting looking down
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647718109,55,5,director,D,2072,statue of liberty
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647730810,56,5,director,C,989,flying
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647744914,57,5,director,J,4215,square on top plain shape on bottom
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647761413,58,5,director,H,5395,square on top fat shape on bottom
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647769257,59,5,director,I,646,bird
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647779768,60,5,director,A,1429,man kicking
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647788876,61,6,director,A,1532,man kicking
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647799617,62,6,director,L,2373,zig zag
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647810709,63,6,director,G,769,shoe
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647823367,64,6,director,I,615,bird
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647831281,65,6,director,B,757,toilet
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647852537,66,6,director,K,7987,square on top openings on both sides
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647865643,67,6,director,J,5599,square on top plain shape on bottom
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647876248,68,6,director,F,1320,man sitting
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647890854,69,6,director,H,4097,square on top fat shape on bottom
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647908564,70,6,director,D,2290,statue of liberty
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647916299,71,6,director,E,1685,bunny ears
4076-4cf65365-3773-4e94-abc7-06f8f15081f3,1490647933369,72,6,director,C,6663,flying
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393146985,1,1,director,A,9335,pick the one where it looks like a guy is kicking forward
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393168317,2,1,director,I,9595,"pick the weird ballet looking one, one legged another leg in the air"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393194226,3,1,director,G,8480,the one where the guy is sort of laying foward and praying
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393199171,3,1,director,G,3200,with his head reared back
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393228771,4,1,director,L,9543,the one where the guy is sort of quatting with his hands forward
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393240329,4,1,director,L,8663,it kind of looks like a a weird s
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393250169,4,1,matcher,L,2185,if the head
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393255745,4,1,director,L,2126,head is straight
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393274178,5,1,director,C,2360,leaning like superman
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393276766,5,1,director,C,952,arms out
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393282080,5,1,director,C,2447,body diagnol
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393300915,6,1,director,D,8110,facing left his hands are outstretched like he is begging
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393307676,6,1,matcher,D,49225,im gonna assume the top of the head is facing at noon...otherwise can you give me a time on the clock?
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393307859,6,1,director,D,2381,both feet on the ground
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393327068,6,1,matcher,D,1239,sitting?
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393356556,7,1,director,H,10185,"the one where he is sort of slouched, no arms out legs facing right"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393388555,8,1,director,K,4329,begging on his knees arms facing right
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393416977,9,1,director,B,17479,"like the last one but with more shapes, like his head titled forward and his arms out more"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393450701,10,1,director,E,10016,"slouched, facing right with his feet out and the two weird things on his head"
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393455984,10,1,director,E,1793,like a sad bunny
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393471214,11,1,matcher,J,1757,split hat
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393473759,11,1,director,J,6663,short looking facing right
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393481532,11,1,director,J,3071,no distinct arms
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393490647,11,1,director,J,4201,well one arms kinda under the head
6524-a23c203d-4591-4fa2-aabd-d9c0063cea73,1490393511840,12,1,director,F,6832,like he is slouched against a wall facing the left
