gameid,msgTime,roundNum,role,contents,totalLength,thinksHuman,comments,ratePartner,nativeEnglish,numRawWords
0955-2,1459974698890,3,director,2. man sitting looking to the left,1061162,yes,,okay,yes,7
0955-2,1459974713175,3,director,3. woman knealing with her arms to the right side,1061162,yes,,okay,yes,10
0955-2,1459974726915,3,director,4. man standing with his arms to the let side,1061162,yes,,okay,yes,10
0955-2,1459974736108,3,director,5. man on one foot with his head to the left side,1061162,yes,,okay,yes,12
0955-2,1459974747250,3,director,6. woman with large boobs witting pointed to the left,1061162,yes,,okay,yes,10
0955-2,1459974760939,3,director,7. woman with small boobs sitting pointed to the left,1061162,yes,,okay,yes,10
0955-2,1459974765169,3,director,8. large blob,1061162,yes,,okay,yes,3
0955-2,1459974770284,3,director,9. man jumping,1061162,yes,,okay,yes,3
0955-2,1459974776639,3,director,10. man on one leg head on right,1061162,yes,,okay,yes,8
0955-2,1459974780159,3,director,11. smaller blob,1061162,yes,,okay,yes,3
0955-2,1459974785935,3,director,12. man praying with his arms to the right,1061162,yes,,okay,yes,9
0955-2,1459974839006,4,director,1 man standing with arms to the left side,1061162,yes,,okay,yes,9
0955-2,1459974844764,4,director,2. man standing on one leg head on left side,1061162,yes,,okay,yes,10
0955-2,1459974847914,4,director,3. woman with large boobs sitting,1061162,yes,,okay,yes,6
0955-2,1459974851738,4,director,4. smaller blob,1061162,yes,,okay,yes,3
0955-2,1459974853104,4,director,5. rabbit,1061162,yes,,okay,yes,2
0955-2,1459974855704,4,director,6. larger blob,1061162,yes,,okay,yes,3
0955-2,1459974865833,4,director,7. man knealing praying with his arms on the right,1061162,yes,,okay,yes,10
0955-2,1459974873498,4,director,8. a man sitting on the groun completely,1061162,yes,,okay,yes,8
0955-2,1459974879773,4,director,9. a woman sitting on the ground,1061162,yes,,okay,yes,7
0955-2,1459974882288,4,director,10. a man jumping,1061162,yes,,okay,yes,4
0955-2,1459974890164,4,director,11. a man standing on one leg with his head to the right,1061162,yes,,okay,yes,13
0955-2,1459974911395,4,director,"12. a woman praying with her arms on the right side, she has a spike on her back",1061162,yes,,okay,yes,18
0955-2,1459974941837,5,director,1. rabbit,1061162,yes,,okay,yes,2
0955-2,1459974947563,5,director,2. man knealing hands on right side,1061162,yes,,okay,yes,7
0955-2,1459974955883,5,director,3. man on one foot head on right side,1061162,yes,,okay,yes,9
0955-2,1459974962327,5,director,4. woman sitting on ground with small boobs,1061162,yes,,okay,yes,8
0955-2,1459974969252,5,director,5. woman sitting on groud with big boobs,1061162,yes,,okay,yes,8
0955-2,1459974974282,5,director,6. man sitting on the ground,1061162,yes,,okay,yes,6
0955-2,1459974978678,5,director,7. small blob,1061162,yes,,okay,yes,3
0955-2,1459974995182,5,director,8. man on one league with head pointed ot the right,1061162,yes,,okay,yes,11
0955-2,1459974999007,5,director,9. man jumping,1061162,yes,,okay,yes,3
0955-2,1459975001022,5,director,10. large blob,1061162,yes,,okay,yes,3
0955-2,1459975007437,5,director,11. man standing with arms to the left side,1061162,yes,,okay,yes,9
0955-2,1459975014377,5,director,12. woman praying that is on her knees,1061162,yes,,okay,yes,8
0955-2,1459975035156,6,director,1. man knealing praying with arms on right,1061162,yes,,okay,yes,8
0955-2,1459975036551,6,director,2. rabbit,1061162,yes,,okay,yes,2
0955-2,1459975038341,6,director,3. large blob,1061162,yes,,okay,yes,3
0955-2,1459975041653,6,director,4. man jumping,1061162,yes,,okay,yes,3
0955-2,1459975050347,6,director,"5. small blob, it has a point top",1061162,yes,,okay,yes,8
0955-2,1459975056677,6,director,6. man standing with arms pointed to the left,1061162,yes,,okay,yes,9
0955-2,1459975062002,6,director,7. man on one leg head on the right,1061162,yes,,okay,yes,9
0955-2,1459975070501,6,director,8. woman knealing with her arms out,1061162,yes,,okay,yes,7
0955-2,1459975079591,6,director,9. woman with large boobs sitting down,1061162,yes,,okay,yes,7
0955-2,1459975085903,6,director,"10, skinner woman with small bobos skitting down",1061162,yes,,okay,yes,8
0955-2,1459975090211,6,director,11. man on one leg with head to the left,1061162,yes,,okay,yes,10
0955-2,1459975094549,6,director,12. man sitting down pointed to the left,1061162,yes,,okay,yes,8
0955-2,1459975157337,6,director,?,1061162,yes,,okay,yes,1
4459-4,1459974360768,1,director,"#1 standing on one foot, other foot pointed right",1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,9
4459-4,1459974387603,1,director,#2 head pointed NW,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,4
4459-4,1459974402080,1,director,#3 PASS,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459974421569,1,director,# 4 PASS (hard to describe sorry),1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,7
4459-4,1459974445963,1,director,"#5 head pointed NW, both hands slanted",1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,7
4459-4,1459974457361,1,matcher,"dont feel bad, they are hard. i cant figure #2",NA,NA,NA,NA,NA,10
4459-4,1459974471409,1,director,#6 kneeling sort of,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,4
4459-4,1459974520275,1,director,"#2 to add to that, dance-like, one foot lifted",1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,9
4459-4,1459974563207,1,director,#7 Preacher stance(lol) facing west,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,5
4459-4,1459974580973,1,director,#8 Bunny looking,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,3
4459-4,1459974590399,1,matcher,more detail #6? got the others,NA,NA,NA,NA,NA,6
4459-4,1459974616359,1,director,#6 the knees are grounded,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,5
4459-4,1459974625787,1,director,#9 PASS,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459974665418,1,director,#10 CANDLE looking,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,3
4459-4,1459974723773,1,director,"#11 head facing right, body pointed left, arms lift same level as head",1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,13
4459-4,1459974738475,1,director,#12 sitting facing left,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,4
4459-4,1459974760718,1,director,#9 ducky looking,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,3
4459-4,1459974784959,1,director,#4 kneeling facing right,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,4
4459-4,1459974812553,1,director,#3 also facing right,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,4
4459-4,1459974826133,1,director,but more manly looking,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,4
4459-4,1459974826195,1,matcher,"1, ice skting, 2 kicking left, 3 blob? no arms facing right, 4 angel praying?,",NA,NA,NA,NA,NA,15
4459-4,1459974864982,1,matcher,"5 leaning left, 6 kneeling boobs, 7 preacher left pointing, 8 bunny, 9 blob disoriented shape",NA,NA,NA,NA,NA,16
4459-4,1459974866667,1,director,"correct, # 2 is dance like",1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,6
4459-4,1459974885823,1,matcher,"10 candle, one aarm point right, 11 point right kneel kinda, 12 sitting left",NA,NA,NA,NA,NA,14
4459-4,1459974901956,1,director,Yeah I think we're good,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,5
4459-4,1459974917350,2,matcher,6 correct lol,NA,NA,NA,NA,NA,3
4459-4,1459974922128,2,director,haha,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,1
4459-4,1459974931039,2,matcher,lets try again,NA,NA,NA,NA,NA,3
4459-4,1459974943748,2,matcher,where is preacher?,NA,NA,NA,NA,NA,3
4459-4,1459974952230,2,director,3,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,1
4459-4,1459974957524,2,matcher,bunny?,NA,NA,NA,NA,NA,1
4459-4,1459974961069,2,director,bunny #7,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459974965907,2,director,candle 8,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459974968421,2,matcher,sitting?,NA,NA,NA,NA,NA,1
4459-4,1459974974438,2,director,2,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,1
4459-4,1459974984476,2,matcher,ice skating,NA,NA,NA,NA,NA,2
4459-4,1459974984640,2,director,skating 9,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975005126,2,director,you see the one that look like a duck? it 10,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,11
4459-4,1459975024008,2,matcher,"no, dont know duck",NA,NA,NA,NA,NA,4
4459-4,1459975046564,2,matcher,is bunny sitting against left wall?,NA,NA,NA,NA,NA,6
4459-4,1459975062127,2,director,"kind of has a pointed tail loooking, not that the bunny",1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,11
4459-4,1459975076635,2,director,the duck is facing left,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,5
4459-4,1459975091493,2,director,no* bunny is different,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,4
4459-4,1459975101189,2,director,shadow is 12,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,3
4459-4,1459975117443,2,director,shadow ( arm up in the air around head),1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,9
4459-4,1459975124668,2,matcher,got shadow,NA,NA,NA,NA,NA,2
4459-4,1459975128653,2,director,6 lady kneeling,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,3
4459-4,1459975147290,2,matcher,where is guy kneeling?,NA,NA,NA,NA,NA,4
4459-4,1459975149235,2,director,5 zigzag kneeling,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,3
4459-4,1459975160683,2,matcher,got it,NA,NA,NA,NA,NA,2
4459-4,1459975163448,2,director,(zigzag = guy I guess),1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,5
4459-4,1459975181200,2,matcher,10 angel?,NA,NA,NA,NA,NA,2
4459-4,1459975197288,2,director,11 angel,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975202726,2,director,duck 10,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975220220,2,matcher,okay i think i got duck- no arms,NA,NA,NA,NA,NA,8
4459-4,1459975228741,2,director,"(angel for me, is kneeling with head mid height)",1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,9
4459-4,1459975235186,2,director,haha yep,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975254006,2,matcher,"yep, correct on angel",NA,NA,NA,NA,NA,4
4459-4,1459975259341,2,director,that's everything,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975269159,3,matcher,much better,NA,NA,NA,NA,NA,2
4459-4,1459975274853,3,director,indeed,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,1
4459-4,1459975283803,3,director,shadow 1,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975288932,3,director,lady kneeling 2,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,3
4459-4,1459975299358,3,director,4 candle,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975305214,3,director,5 duck no arm,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,4
4459-4,1459975310717,3,director,6 preacher,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975315623,3,director,7 angel,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975319230,3,director,8 skating,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975322310,3,director,sitting 9,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975326709,3,director,bunny 11,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975333724,3,director,12 zigzag,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975349684,3,matcher,dacing?,NA,NA,NA,NA,NA,1
4459-4,1459975349786,3,director,3 eccentric standing,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,3
4459-4,1459975360052,3,director,that might be the dancing lol,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,6
4459-4,1459975363036,3,matcher,"haha, okay",NA,NA,NA,NA,NA,2
4459-4,1459975372330,3,matcher,10 is mess of shapes then?,NA,NA,NA,NA,NA,6
4459-4,1459975383210,3,director,10 sitting,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975398549,3,director,9 mess of shape I guess,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,6
4459-4,1459975403780,3,matcher,k got it,NA,NA,NA,NA,NA,3
4459-4,1459975420217,4,director,great jon,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975423757,4,director,job*,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,1
4459-4,1459975423762,4,matcher,now we've got it,NA,NA,NA,NA,NA,4
4459-4,1459975436727,4,director,1 eccentric sntading,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,3
4459-4,1459975440199,4,director,2 prech,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975443890,4,director,3 mess,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975448550,4,director,4 angel,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975451288,4,director,bunny,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,1
4459-4,1459975456804,4,director,skating,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,1
4459-4,1459975463195,4,director,7 zigzag,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975469149,4,director,8 lady kneeling,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,3
4459-4,1459975472842,4,director,9 duck,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975475999,4,director,10 sitting,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,2
4459-4,1459975479389,4,director,shadwo,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,1
4459-4,1459975481921,4,director,candle,1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,1
4459-4,1459975546276,5,director,"sktaing, eccentric stnding, shdow, bunny candle",1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,6
4459-4,1459975564794,5,director,"zigzag, duck, angel, sitting, precher, lady kneel",1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,7
4459-4,1459975598025,5,director,"missing 5, mess of shapes",1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,5
4459-4,1459975628131,5,matcher,"skae, dance, shadow, bunny",NA,NA,NA,NA,NA,4
4459-4,1459975631659,5,matcher,then?,NA,NA,NA,NA,NA,1
4459-4,1459975643833,5,director,"mess 5, 6 candle",1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,4
4459-4,1459975675246,6,director,"skting, bunny, shadow, cnadle, mess, angel",1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,6
4459-4,1459975695854,6,director,"sititng, preacher, lady, duck, zigzag, dancing",1532136,yes,"I found the experiment quite fun and enjoyable, Thank you!",loved,yes,6
5273-c,1459974812017,1,matcher,hey,2192649,yes,,loved,yes,1
5273-c,1459974863606,1,director,hi ok let's see if we can find a easy/simple way to do this. in my square one I have a tangram with a block on its corner at the top and then underneath it there is a tall rectangle shape with a square coming off of it to the left that has a small pointed corner at the top left,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,61
5273-c,1459974887589,1,director,let me know if I can clarify more,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,8
5273-c,1459974928275,1,matcher,is it taller or shorter than average?,2192649,yes,,loved,yes,7
5273-c,1459974960375,1,director,its one of the tall ones. i see three tall ones with squares as the 'head',2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,16
5273-c,1459974988410,1,matcher,I think I got it,2192649,yes,,loved,yes,5
5273-c,1459975030006,1,director,ok cool second one looks like a person with a robe on that is bent at the knees and they have a triangle-ish thing out to the right that could look like they're pointing at something,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,36
5273-c,1459975040071,1,director,knees bent to the right as well,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,7
5273-c,1459975046010,1,matcher,got it,2192649,yes,,loved,yes,2
5273-c,1459975070749,1,director,3- looks like a person standing on one leg with another leg pointed to the right,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,16
5273-c,1459975080439,1,director,two arms pointing to left,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,5
5273-c,1459975089658,1,matcher,got it,2192649,yes,,loved,yes,2
5273-c,1459975120059,1,director,ok 4- pretty much a rectangle bottom with a little missing on the right side and then just tilted square on top,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,22
5273-c,1459975133251,1,matcher,got it,2192649,yes,,loved,yes,2
5273-c,1459975158706,1,director,5- looks like a person sitting/leaning against a wall. 'head' looks like it has bunny ears,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,16
5273-c,1459975171610,1,director,back/flat part is on the left,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,6
5273-c,1459975175965,1,matcher,"does 4 look pretty similar to 1? I think I have 4 right, not sure about 1",2192649,yes,,loved,yes,17
5273-c,1459975195474,1,director,no 1 looks nothing like 4,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,6
5273-c,1459975195543,1,matcher,got 5,2192649,yes,,loved,yes,2
5273-c,1459975211098,1,matcher,"ok, maybe go back to 1 at the end",2192649,yes,,loved,yes,9
5273-c,1459975215647,1,director,ok sound sgood,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,3
5273-c,1459975263346,1,director,"6- tilted square on top, bottom part is a rectangle main body but the bottom is missing some on the left and that pushes out on the right if that make sense",2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,32
5273-c,1459975281361,1,director,like a tube of toothpaste sorta,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,6
5273-c,1459975289354,1,matcher,"got it, thats what I had as 1",2192649,yes,,loved,yes,8
5273-c,1459975324003,1,director,8 looks like a falling person with their hands in the air,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,12
5273-c,1459975327500,1,director,ill go back to 7,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,5
5273-c,1459975356176,1,matcher,does 8 look like a Y with a square in the middle?,2192649,yes,,loved,yes,12
5273-c,1459975360818,1,director,yes,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,1
5273-c,1459975366205,1,matcher,got 8,2192649,yes,,loved,yes,2
5273-c,1459975391001,1,director,"ok 12 is easy so ill go to that, looks like person sitting. they are leaned against the right side and their feet are off to the left",2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,28
5273-c,1459975400829,1,matcher,got it,2192649,yes,,loved,yes,2
5273-c,1459975436292,1,matcher,one remaining looks like a bird with one foot off the ground and carrying a flag - make sense at all?,2192649,yes,,loved,yes,21
5273-c,1459975446059,1,director,"k 11 has a square in the top right hand corner and its sorta falling off the body. it has two legs, the one leg is touching the ground one is in the air",2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,34
5273-c,1459975466633,1,director,i think that what you described is my 11,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,9
5273-c,1459975475495,1,matcher,got 11,2192649,yes,,loved,yes,2
5273-c,1459975496981,1,matcher,one looks like a person wearing a robe with their hand pointing left?,2192649,yes,,loved,yes,13
5273-c,1459975508324,1,director,that is 1 for me,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,5
5273-c,1459975519613,1,matcher,k,2192649,yes,,loved,yes,1
5273-c,1459975533970,1,director,9 looks like a person on their knees pointing to the right,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,12
5273-c,1459975546193,1,matcher,got 9,2192649,yes,,loved,yes,2
5273-c,1459975569626,1,director,so 7 has its spot correct based on what you have left,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,12
5273-c,1459975591841,1,director,ok you submit correct?,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,4
5273-c,1459975605537,1,matcher,we forgot 10,2192649,yes,,loved,yes,3
5273-c,1459975624769,1,matcher,either 7 or 10 kind of looks like a tree stump?,2192649,yes,,loved,yes,11
5273-c,1459975626394,1,director,oh my bad. 10 has a tilted square at the top and then a triangle hanging off of it to the right,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,22
5273-c,1459975647053,1,director,10 would be the most tree stumpy to me,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,9
5273-c,1459975652494,1,matcher,submitting...,2192649,yes,,loved,yes,1
5273-c,1459975660644,2,matcher,bam,2192649,yes,,loved,yes,1
5273-c,1459975664676,2,director,nice!,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,1
5273-c,1459975684448,2,director,ok so easier now I hope because we know the general idea of how they look,2370830,yes,Not really enough money even with bonus if you actually work hard to match them properly. Could purposely not match them right to get through rounds quickly just to make money worth time but I wanted to do well for the hit to get proper information.,loved,yes,16
