gameid,msgTime,roundNum,role,contents,totalLength,thinksHuman,comments,ratePartner,nativeEnglish,numRawWords
0955-2,1459974263375,1,director,hello,1061162,yes,,okay,yes,1
0955-2,1459974270248,1,matcher,hi :),940237,yes,Harder than i expected!,okay,yes,2
0955-2,1459974309718,1,director,number 1 is a guy that looks like he is praying with this hands to the right,1061162,yes,,okay,yes,17
0955-2,1459974329521,1,matcher,got it,940237,yes,Harder than i expected!,okay,yes,2
0955-2,1459974351444,1,director,number 2 is a man who looks like he's standing with one foot in the air to the left and his head on the right,1061162,yes,,okay,yes,25
0955-2,1459974373165,1,matcher,ok,940237,yes,Harder than i expected!,okay,yes,1
0955-2,1459974374373,1,director,number 3 is a man with his hands in the air looking like he's jumping,1061162,yes,,okay,yes,15
0955-2,1459974389865,1,director,number 4 i sa man with his foot parallel to the ground on the right and his arms to the left,1061162,yes,,okay,yes,21
0955-2,1459974407503,1,director,number 5 is a person on ground that doesn't look like a rabbit,1061162,yes,,okay,yes,13
0955-2,1459974427478,1,director,number 6 looks similar but with big pointy boobs,1061162,yes,,okay,yes,9
0955-2,1459974438533,1,director,number 7 looks like a person praying,1061162,yes,,okay,yes,7
0955-2,1459974446274,1,director,number 8 looks like a blob with no arms,1061162,yes,,okay,yes,9
0955-2,1459974454278,1,director,number 9 looks like a rabbit sitting on the groud,1061162,yes,,okay,yes,10
0955-2,1459974462e3,1,director,number 10 looks like a woman praying with her arms to the left,1061162,yes,,okay,yes,13
0955-2,1459974478277,1,director,number 11 is a skinnier version of a blob with no arms that is 8,1061162,yes,,okay,yes,15
0955-2,1459974494897,1,director,number 12 is a man sitting with his legs pointed to the left,1061162,yes,,okay,yes,13
0955-2,1459974548044,2,matcher,harder than it looked :/,940237,yes,Harder than i expected!,okay,yes,5
0955-2,1459974553586,2,director,1 looks like a woman with large boobs pointed to the left,1061162,yes,,okay,yes,12
0955-2,1459974568097,2,director,2 is a man praying knealing with his arms to the right,1061162,yes,,okay,yes,12
0955-2,1459974584102,2,director,3 is a man standing and pointing to the left,1061162,yes,,okay,yes,10
0955-2,1459974595091,2,director,4 is a man sitting on the ground which was 12 last itme,1061162,yes,,okay,yes,13
0955-2,1459974610491,2,director,5 is a man standing on one leg with his head on the left,1061162,yes,,okay,yes,14
0955-2,1459974622086,2,director,6 is a man standing on one leg with his head on the right,1061162,yes,,okay,yes,14
0955-2,1459974627016,2,director,7 looks like the rabbit,1061162,yes,,okay,yes,5
0955-2,1459974632496,2,director,8 is a woman sitting down completely,1061162,yes,,okay,yes,7
0955-2,1459974644036,2,director,9 is a man jumping with his arms up,1061162,yes,,okay,yes,9
0955-2,1459974656685,2,director,10 is a woman sitting with her arms to the right side and smaller boobs,1061162,yes,,okay,yes,15
0955-2,1459974661781,2,director,11 is a large blob,1061162,yes,,okay,yes,5
0955-2,1459974664530,2,director,12 is the smaller blob,1061162,yes,,okay,yes,5
0955-2,1459974692941,3,director,1. rabbit,1061162,yes,,okay,yes,2
