gameid,roundNum,word,POS,count
0955-2,2,feet,NNS,0
0955-2,2,lol,NN,0
0955-2,2,another,DT,0
0955-2,2,open,JJ,0
0955-2,2,hood,NN,0
0955-2,2,little,JJ,0
0955-2,2,Okay,UH,0
0955-2,2,stuck,VBD,0
0955-2,2,top,NN,0
0955-2,2,their,PRP$,0
0955-2,2,too,RB,0
0955-2,2,legs,NNS,0
0955-2,2,that,WDT,0
0955-2,2,centered,VBN,0
0955-2,2,part,NN,0
0955-2,2,somewhat,RB,0
0955-2,2,wide,JJ,0
0955-2,2,kind,NN,0
0955-2,2,reclining,JJ,0
0955-2,2,tree,NN,0
0955-2,2,board,NN,0
0955-2,2,karate,NN,0
0955-2,2,6th,JJ,0
0955-2,2,toward,IN,0
0955-2,2,and,CC,2
0955-2,2,angel,NN,0
0955-2,2,turned,VBN,0
0955-2,2,talking,VBG,0
0955-2,2,have,VBP,0
0955-2,2,ballerina,NN,0
0955-2,2,angle,NN,0
0955-2,2,dancing,NN,0
0955-2,2,-,:,0
0955-2,2,also,RB,0
0955-2,2,With,IN,0
0955-2,2,who,WP,0
0955-2,2,most,RBS,0
0955-2,2,knee,NN,0
0955-2,2,The,DT,0
0955-2,2,dog,NN,0
0955-2,2,face,NN,0
0955-2,2,pointy,JJ,0
0955-2,2,Its,PRP$,0
0955-2,2,walking,VBG,0
0955-2,2,pope,NN,0
0955-2,2,no.,RB,0
0955-2,2,corner,NN,0
0955-2,2,ground,NN,1
0955-2,2,anvil,NN,0
0955-2,2,explain,VB,0
0955-2,2,should,MD,0
0955-2,2,being,VBG,0
0955-2,2,only,RB,0
0955-2,2,pretty,RB,0
0955-2,2,robe,NN,0
0955-2,2,he,PRP,0
0955-2,2,over,IN,0
0955-2,2,rectangle,NN,0
0955-2,2,wearing,VBG,0
0955-2,2,do,VB,0
0955-2,2,his,PRP$,4
0955-2,2,triangle,NN,0
0955-2,2,begging,VBG,0
0955-2,2,ones,NNS,0
0955-2,2,PASS,NN,0
0955-2,2,him,PRP,0
0955-2,2,Move,VB,0
0955-2,2,bad,JJ,0
0955-2,2,priest,NN,0
0955-2,2,where,WRB,0
0955-2,2,ears,NNS,0
0955-2,2,For,IN,0
0955-2,2,attached,VBN,0
0955-2,2,see,VB,0
0955-2,2,slanted,VBN,0
0955-2,2,are,VBP,0
0955-2,2,arm,NN,0
0955-2,2,knees,NNS,0
0955-2,2,#,#,0
0955-2,2,That,DT,0
0955-2,2,sorta,NN,0
0955-2,2,behind,IN,0
0955-2,2,finger,NN,0
0955-2,2,diamonds,NNS,0
0955-2,2,perfectly,RB,0
0955-2,2,kneel,NN,0
0955-2,2,we,PRP,0
0955-2,2,vertical,JJ,0
0955-2,2,missing,VBG,0
0955-2,2,rock,NN,0
0955-2,2,kicking,VBG,0
0955-2,2,both,DT,0
0955-2,2,last,JJ,1
0955-2,2,similar,JJ,0
0955-2,2,ill,RB,0
0955-2,2,monk,NN,0
0955-2,2,against,IN,0
