gameid,time,roundNum,score,name,draggedTo
0955-2,1459974319779,1,1,D_monk,1
0955-2,1459974364212,1,2,A_bird,2
0955-2,1459974390435,1,3,C_ghost,3
0955-2,1459974403077,1,4,I_iceskater,4
0955-2,1459974420950,1,4,F_sadperson,5
0955-2,1459974436049,1,5,B_helpbunny,6
0955-2,1459974445368,1,6,L_egypt,7
0955-2,1459974459120,1,7,E_bunny,9
0955-2,1459974469595,1,6,B_helpbunny,10
0955-2,1459974500753,1,6,G_seal,12
0955-2,1459974559796,2,0,B_helpbunny,9
0955-2,1459974564856,2,1,B_helpbunny,1
0955-2,1459974582616,2,1,D_monk,5
0955-2,1459974587067,2,2,L_egypt,2
0955-2,1459974591747,2,3,D_monk,3
0955-2,1459974603564,2,4,F_sadperson,4
0955-2,1459974617560,2,4,A_bird,5
0955-2,1459974634327,2,5,A_bird,6
0955-2,1459974636443,2,6,I_iceskater,5
0955-2,1459974642815,2,7,E_bunny,7
0955-2,1459974648105,2,6,B_helpbunny,8
0955-2,1459974658732,2,7,C_ghost,9
0955-2,1459974666053,2,8,K_waiter,10
0955-2,1459974671532,2,10,H_baby,11
0955-2,1459974698045,3,1,E_bunny,1
0955-2,1459974706801,3,1,G_seal,2
0955-2,1459974714878,3,2,F_sadperson,2
0955-2,1459974719571,3,3,L_egypt,3
0955-2,1459974733569,3,4,D_monk,4
0955-2,1459974756661,3,4,K_waiter,6
0955-2,1459974788339,3,4,K_waiter,7
0955-2,1459974790416,3,4,K_waiter,6
0955-2,1459974795582,3,4,B_helpbunny,7
0955-2,1459974799807,3,5,H_baby,8
0955-2,1459974803344,3,6,C_ghost,9
0955-2,1459974806811,3,7,A_bird,10
0955-2,1459974808416,3,8,J_compact,11
0955-2,1459974816422,3,9,L_egypt,12
0955-2,1459974847064,4,1,D_monk,1
0955-2,1459974853122,4,3,I_iceskater,2
0955-2,1459974859142,4,4,B_helpbunny,3
0955-2,1459974861395,4,5,J_compact,4
0955-2,1459974864737,4,6,E_bunny,5
0955-2,1459974868422,4,7,H_baby,6
0955-2,1459974872107,4,8,K_waiter,7
0955-2,1459974887599,4,9,C_ghost,10
0955-2,1459974946278,5,1,E_bunny,1
0955-2,1459974954573,5,2,L_egypt,2
0955-2,1459974960325,5,2,A_bird,3
0955-2,1459974969726,5,3,G_seal,5
0955-2,1459974970721,5,3,K_waiter,4
0955-2,1459974975853,5,4,B_helpbunny,5
0955-2,1459974983893,5,5,J_compact,7
0955-2,1459975003531,5,7,C_ghost,9
0955-2,1459975010109,5,8,D_monk,11
0955-2,1459975040156,6,1,L_egypt,1
0955-2,1459975043804,6,2,E_bunny,2
0955-2,1459975045544,6,2,B_helpbunny,3
0955-2,1459975047755,6,3,C_ghost,4
0955-2,1459975055281,6,4,J_compact,5
